,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,developer_chosen,job_id
1926,new,1.Platinum,2.Rest of US,Mobile,,3,2,2,1,0.0,0,341.0,78.0,29.2,40.0,0,0,0.0,6276
1927,existing,1.Platinum,2.Rest of US,Web Frontend,,1,2,1,0,2214.0,No Nice have skill,4939.0,No Nice have skill,29.2,40.0,0,0,1.0,9094
1928,new,1.Platinum,2.Rest of US,Web Frontend,,9,5,5,4,0.0,0,38.0,7.0,29.2,40.0,0,2,0.0,6798
1929,new,1.Platinum,2.Rest of US,Web Frontend,,1,2,1,0,2214.0,No Nice have skill,4939.0,No Nice have skill,29.2,40.0,0,0,1.0,8017
1931,new,1.Platinum,2.Rest of US,Web Frontend,,3,3,3,0,0.0,No Nice have skill,2130.0,No Nice have skill,29.2,40.0,0,0,1.0,8300
1933,new,1.Platinum,2.Rest of US,Web Frontend,,3,3,3,0,6.0,No Nice have skill,137.0,No Nice have skill,29.2,40.0,0,0,1.0,7801
1934,new,1.Platinum,2.Rest of US,Web Frontend,,10,6,10,0,0.0,No Nice have skill,2.0,No Nice have skill,29.2,40.0,0,2,1.0,8127
1935,existing,1.Platinum,2.Rest of US,Web Frontend,,1,1,1,0,1480.0,No Nice have skill,2062.0,No Nice have skill,29.2,40.0,0,0,1.0,9095
1936,new,1.Platinum,2.Rest of US,Web Frontend,,11,6,11,0,0.0,No Nice have skill,0.0,No Nice have skill,29.2,40.0,0,2,1.0,7115
1937,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),,10,11,3,7,2.0,0,165.0,0,56.6,40.0,0,2,0.0,7163
1938,new,1.Platinum,2.Rest of US,Web Backend,,14,6,8,6,0.0,0,0.0,0,29.2,40.0,0,2,0.0,7397
1939,new,1.Platinum,2.Rest of US,Backend Systems,,6,10,4,2,0.0,0,243.0,3621.0,29.2,40.0,0,2,0.0,8014
1940,new,1.Platinum,2.Rest of US,Backend Systems,,7,5,6,1,0.0,0,49.0,248.0,29.2,40.0,0,2,0.0,8016
1941,new,1.Platinum,2.Rest of US,Backend Systems,,9,7,6,3,0.0,0,28.0,109.0,29.2,40.0,0,2,0.0,8316
1942,new,1.Platinum,2.Rest of US,Cloud - Networking,,1,1,1,0,1656.0,No Nice have skill,245.0,No Nice have skill,29.2,,0,0,0.0,8317
1949,new,1.Platinum,3.Top 30 GDP,Web Backend,,7,6,5,2,0.0,135.0,0.0,10215.0,5.8,,0,2,0.0,6172
1950,new,1.Platinum,2.Rest of US,Backend Systems,p0,7,4,3,4,0.0,0,1246.0,8.0,29.2,,0,2,0.0,7751
1951,new,1.Platinum,3.Top 30 GDP,Full Stack,p0,4,4,3,1,0.0,3749.0,13.0,4285.0,5.8,40.0,0,0,0.0,7812
1952,new,1.Platinum,1.Bay Area,,,1,1,1,0,5048.0,No Nice have skill,15171.0,No Nice have skill,56.6,,0,1,0.0,8018
1953,new,1.Platinum,2.Rest of US,Other,p0,2,0,1,1,0.0,0,20.0,6732.0,29.2,40.0,0,0,0.0,8225
1954,existing,1.Platinum,2.Rest of US,Web Frontend,p0,2,3,2,0,10.0,No Nice have skill,834.0,No Nice have skill,29.2,40.0,0,0,0.0,6309
1955,existing,1.Platinum,2.Rest of US,Web Frontend,p0,4,5,4,0,29.0,No Nice have skill,6025.0,No Nice have skill,29.2,40.0,0,0,0.0,6078
1956,existing,1.Platinum,1.Bay Area,Other,p0,2,2,2,0,0.0,No Nice have skill,382.0,No Nice have skill,56.6,40.0,0,0,1.0,8030
1957,existing,1.Platinum,1.Bay Area,Web Backend,p0,3,5,1,2,5048.0,439.0,15171.0,7364.0,56.6,40.0,0,1,1.0,8031
1958,existing,1.Platinum,1.Bay Area,DevOps,p0,8,6,5,3,0.0,0,241.0,73.0,56.6,40.0,0,2,1.0,8032
1960,new,1.Platinum,1.Bay Area,Data Engineering,p0,2,3,2,0,2921.0,No Nice have skill,10631.0,No Nice have skill,56.6,40.0,0,0,0.0,6703
1961,new,1.Platinum,1.Bay Area,Web Frontend,p0,4,5,4,0,29.0,No Nice have skill,6025.0,No Nice have skill,56.6,40.0,0,0,1.0,6988
1962,existing,1.Platinum,1.Bay Area,Web Frontend,p0,4,5,4,0,29.0,No Nice have skill,6025.0,No Nice have skill,56.6,40.0,0,0,1.0,8051
1963,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,5,3,3,2,0.0,0,118.0,308.0,56.6,40.0,0,2,1.0,6836
1964,existing,1.Platinum,1.Bay Area,Other,p0,2,3,1,1,6922.0,9808.0,16794.0,17893.0,56.6,40.0,0,1,1.0,8141
1965,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,3,2,2,2921.0,0,10631.0,127.0,56.6,40.0,0,2,0.0,6700
1966,existing,1.Platinum,1.Bay Area,Web Backend,p0,7,5,2,5,0.0,0,308.0,258.0,11.7,40.0,0,2,0.0,8685
1967,new,1.Platinum,1.Bay Area,Other,p0,4,3,3,1,0.0,0,824.0,470.0,56.6,40.0,0,2,1.0,6771
1968,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,8,11,4,4,0.0,14.0,189.0,190.0,29.2,40.0,0,2,0.0,9179
1969,existing,1.Platinum,2.Rest of US,Mobile,p0,3,2,3,0,0.0,No Nice have skill,193.0,No Nice have skill,29.2,40.0,0,0,0.0,9180
1970,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p1,9,11,3,6,30.0,0,646.0,4.0,29.2,40.0,0,2,0.0,2824
1971,existing,1.Platinum,2.Rest of US,Backend Systems,p0,1,1,1,0,6922.0,No Nice have skill,2547.0,No Nice have skill,29.2,40.0,0,0,0.0,8797
1972,existing,1.Platinum,2.Rest of US,Full Stack,p0,2,2,2,0,1278.0,No Nice have skill,3468.0,No Nice have skill,29.2,40.0,0,0,0.0,8796
1973,new,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p1,6,7,3,3,180.0,106.0,139.0,753.0,29.2,40.0,0,2,1.0,2932
1974,existing,1.Platinum,1.Bay Area,Backend Systems,p1,3,0,1,2,0.0,0,2309.0,437.0,56.6,40.0,0,0,0.0,4468
1975,existing,1.Platinum,1.Bay Area,Cloud - Networking,p0,5,4,5,0,0.0,No Nice have skill,226.0,No Nice have skill,56.6,40.0,0,0,0.0,8751
1976,existing,1.Platinum,3.Top 30 GDP,Web Frontend,p0,5,7,3,2,26.0,0,2437.0,181.0,5.9,40.0,0,2,1.0,7235
1977,existing,1.Platinum,3.Top 30 GDP,Web Frontend,p0,4,7,3,1,26.0,3467.0,2437.0,8821.0,5.8,40.0,0,0,0.0,4332
1978,existing,1.Platinum,3.Top 30 GDP,Web Backend,p0,4,3,2,2,226.0,0,4110.0,371.0,5.8,40.0,0,2,0.0,4333
1980,new,1.Platinum,3.Top 30 GDP,Mobile,p0,2,1,1,1,873.0,0,1501.0,630.0,5.8,40.0,0,0,0.0,6970
1981,new,1.Platinum,3.Top 30 GDP,Mobile,p0,3,3,2,1,81.0,0,2066.0,630.0,5.8,40.0,0,0,0.0,6971
1982,new,1.Platinum,3.Top 30 GDP,Web Backend,p0,1,1,1,0,83.0,No Nice have skill,772.0,No Nice have skill,5.8,40.0,0,0,0.0,6972
1983,new,1.Platinum,3.Top 30 GDP,Web Backend,p0,2,2,2,0,38.0,No Nice have skill,545.0,No Nice have skill,5.8,40.0,0,0,1.0,6464
1985,new,1.Platinum,3.Top 30 GDP,Mobile,p0,3,3,2,1,19.0,0,442.0,630.0,5.8,40.0,0,0,0.0,6969
1986,new,1.Platinum,3.Top 30 GDP,Web Frontend,p0,6,4,5,1,0.0,0,7.0,5857.0,5.8,40.0,0,2,0.0,6235
1987,new,1.Platinum,3.Top 30 GDP,Web Backend,p0,5,2,4,1,0.0,0,23.0,5857.0,5.8,40.0,0,2,0.0,6234
1988,existing,1.Platinum,2.Rest of US,Cloud - Solutions Architecture,p0,5,3,4,1,0.0,0,406.0,630.0,29.2,40.0,0,2,0.0,7300
1989,existing,1.Platinum,2.Rest of US,DevOps,p0,5,2,2,3,0.0,0,891.0,16.0,29.2,40.0,0,2,0.0,9013
1990,new,1.Platinum,2.Rest of US,DevOps,p0,5,2,2,3,0.0,0,891.0,16.0,29.2,40.0,0,2,1.0,6859
1991,existing,1.Platinum,2.Rest of US,Other,p0,2,1,2,0,0.0,No Nice have skill,794.0,No Nice have skill,29.2,40.0,0,0,0.0,8800
1992,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,2,2,2,0,280.0,No Nice have skill,1690.0,No Nice have skill,29.2,40.0,0,0,0.0,8798
1993,new,1.Platinum,2.Rest of US,Cloud - Solutions Architecture,p0,5,2,2,3,0.0,0,891.0,1.0,29.2,40.0,0,2,1.0,6357
1994,existing,1.Platinum,2.Rest of US,Other,p0,2,2,2,0,1278.0,No Nice have skill,3468.0,No Nice have skill,29.2,40.0,0,0,0.0,8799
1995,new,1.Platinum,2.Rest of US,Full Stack,p0,4,4,3,1,0.0,1125.0,7.0,6892.0,29.2,40.0,0,2,1.0,6937
1996,new,1.Platinum,2.Rest of US,Full Stack,p0,4,4,3,1,0.0,1125.0,7.0,6892.0,29.2,40.0,0,2,1.0,7236
1997,new,1.Platinum,2.Rest of US,Full Stack,p0,2,3,2,0,69.0,No Nice have skill,1005.0,No Nice have skill,29.2,40.0,0,0,1.0,6615
1998,new,1.Platinum,2.Rest of US,Data Engineering,p0,7,7,4,3,10.0,0,2180.0,45.0,29.2,40.0,0,2,0.0,7761
1999,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,5,5,4,1,0.0,752.0,1497.0,1103.0,29.2,40.0,0,2,0.0,7624
2000,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,7,7,4,3,10.0,0,2180.0,15.0,29.2,40.0,0,2,0.0,7763
2001,new,1.Platinum,2.Rest of US,Data Engineering,p0,6,4,4,2,0.0,0,361.0,515.0,29.2,40.0,0,2,0.0,7765
2002,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,6,5,4,2,0.0,0,131.0,1364.0,29.2,40.0,0,2,0.0,7764
2003,new,1.Platinum,1.Bay Area,Web Backend,p0,6,6,4,2,1.0,1375.0,22.0,6140.0,56.6,40.0,0,2,1.0,7961
2004,new,1.Platinum,1.Bay Area,Web Backend,p0,7,6,5,2,0.0,0,755.0,211.0,56.6,40.0,0,2,0.0,8533
2005,new,1.Platinum,1.Bay Area,Full Stack,p0,5,7,4,1,14.0,148.0,4059.0,11204.0,56.6,40.0,0,2,0.0,8976
2006,new,1.Platinum,1.Bay Area,Web Frontend,p0,5,5,2,3,105.0,0,12001.0,70.0,56.6,40.0,0,2,0.0,8531
2007,new,1.Platinum,1.Bay Area,Other,p0,1,0,1,0,0.0,No Nice have skill,143.0,No Nice have skill,56.6,40.0,0,0,0.0,8956
2008,new,1.Platinum,1.Bay Area,Other,p0,1,0,1,0,0.0,No Nice have skill,143.0,No Nice have skill,56.6,40.0,0,0,0.0,8954
2027,new,1.Platinum,3.Top 30 GDP,Web Frontend,p1,4,5,1,3,0.0,84.0,511.0,773.0,5.8,40.0,0,0,0.0,9147
2028,new,1.Platinum,3.Top 30 GDP,Machine Learning,p0,2,1,2,0,0.0,No Nice have skill,910.0,No Nice have skill,5.8,40.0,0,0,0.0,5921
2029,new,1.Platinum,3.Top 30 GDP,Machine Learning,p1,1,1,1,0,1620.0,No Nice have skill,6514.0,No Nice have skill,5.8,40.0,0,0,0.0,9148
2032,existing,1.Platinum,3.Top 30 GDP,Backend Systems,p0,7,4,3,4,33.0,0,4256.0,2.0,5.9,,0,2,1.0,8329
2033,new,1.Platinum,3.Top 30 GDP,Web Frontend,p0,5,8,2,3,105.0,4.0,12001.0,143.0,5.8,,0,2,1.0,6133
2034,existing,1.Platinum,3.Top 30 GDP,Backend Systems,p0,7,4,3,4,33.0,0,4256.0,2.0,5.9,,0,2,1.0,8100
2035,existing,1.Platinum,3.Top 30 GDP,Backend Systems,p0,6,4,3,3,33.0,0,4256.0,134.0,5.9,,0,2,1.0,7448
2037,existing,1.Platinum,1.Bay Area,Backend Systems,p0,3,3,2,1,0.0,821.0,2590.0,4228.0,56.6,,0,0,0.0,8177
2039,existing,1.Platinum,1.Bay Area,QA,,1,1,1,0,793.0,No Nice have skill,2281.0,No Nice have skill,11.7,,0,0,1.0,6835
2041,existing,1.Platinum,1.Bay Area,DevOps,p0,4,3,3,1,0.0,0,1075.0,1232.0,11.7,40.0,0,2,0.0,6529
2043,existing,1.Platinum,1.Bay Area,Mobile,p0,2,1,2,0,0.0,No Nice have skill,592.0,No Nice have skill,11.7,40.0,0,0,1.0,6510
2044,existing,1.Platinum,1.Bay Area,Backend Systems,p0,4,5,3,1,8.0,404.0,2004.0,5247.0,11.7,,0,0,0.0,6528
2046,new,1.Platinum,1.Bay Area,Backend Systems,p0,3,3,1,2,752.0,0,1103.0,2863.0,56.6,,0,2,0.0,5244
2047,new,1.Platinum,1.Bay Area,Data Engineering,p0,6,6,2,4,2921.0,0,10631.0,88.0,56.6,,0,2,1.0,5245
2048,new,1.Platinum,4.Others,DevOps,p0,4,3,2,2,216.0,0,214.0,110.0,1.9,40.0,0,2,0.0,4236
2049,new,1.Platinum,4.Others,,,7,7,3,4,54.0,1.0,465.0,167.0,1.9,,0,2,1.0,3729
2050,new,1.Platinum,4.Others,,,2,2,2,0,1375.0,No Nice have skill,6140.0,No Nice have skill,1.9,,0,0,1.0,4241
2051,new,1.Platinum,4.Others,Web Frontend,p0,3,3,3,0,41.0,No Nice have skill,3664.0,No Nice have skill,1.9,40.0,0,0,0.0,4234
2052,new,1.Platinum,4.Others,Web Backend,p0,5,6,1,4,645.0,20.0,1558.0,1212.0,1.9,40.0,0,2,0.0,4235
2053,existing,1.Platinum,2.Rest of US,Data Engineering,p0,6,5,4,2,0.0,0,319.0,345.0,29.2,40.0,0,2,0.0,6107
2054,new,1.Platinum,2.Rest of US,Data Engineering,p0,6,5,4,2,0.0,0,319.0,345.0,29.2,40.0,0,2,1.0,4287
2055,new,1.Platinum,2.Rest of US,Data Engineering,p0,11,9,5,6,0.0,0,99.0,0,29.2,,0,2,0.0,4311
2056,new,1.Platinum,2.Rest of US,Data Engineering,p1,4,2,2,2,0.0,0,876.0,2887.0,29.2,,0,2,0.0,4313
2058,new,1.Platinum,2.Rest of US,Full Stack,,2,3,2,0,374.0,No Nice have skill,6302.0,No Nice have skill,29.2,,0,0,0.0,4597
2059,new,1.Platinum,2.Rest of US,Full Stack,,2,3,2,0,374.0,No Nice have skill,6302.0,No Nice have skill,29.2,,0,0,0.0,4598
2060,new,1.Platinum,3.Top 30 GDP,Backend Systems,p0,12,10,7,5,0.0,0,45.0,14.0,5.8,,0,2,0.0,4790
2061,new,1.Platinum,3.Top 30 GDP,Web Frontend,p0,8,8,6,2,0.0,0,7.0,831.0,5.8,,0,2,0.0,4789
2062,new,1.Platinum,3.Top 30 GDP,Mobile,p0,2,1,2,0,873.0,No Nice have skill,607.0,No Nice have skill,2.0,40.0,0,0,1.0,4157
2063,new,1.Platinum,3.Top 30 GDP,Mobile,p0,3,2,2,1,284.0,284.0,1874.0,2554.0,5.8,40.0,0,0,1.0,4827
2064,new,1.Platinum,3.Top 30 GDP,Mobile,p0,2,2,2,0,284.0,No Nice have skill,1874.0,No Nice have skill,2.0,40.0,0,0,1.0,4158
2065,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,6,9,4,2,4.0,312.0,2881.0,629.0,29.2,,0,2,0.0,4878
2066,new,1.Platinum,2.Rest of US,Full Stack,p0,6,5,3,3,112.0,0,3814.0,38.0,29.2,,0,2,0.0,4872
2067,new,1.Platinum,2.Rest of US,Backend Systems,p0,8,5,2,6,2921.0,0,10631.0,3.0,29.2,,0,2,0.0,4874
2068,new,1.Platinum,2.Rest of US,Web Frontend,p0,2,2,2,0,178.0,No Nice have skill,11545.0,No Nice have skill,29.2,,0,0,0.0,4875
2069,new,1.Platinum,2.Rest of US,Backend Systems,p0,6,6,3,3,0.0,11.0,73.0,3242.0,29.2,,0,2,0.0,5888
2070,new,1.Platinum,2.Rest of US,Mobile,p0,3,2,2,1,284.0,284.0,1874.0,2554.0,29.2,,0,0,1.0,6150
2071,new,1.Platinum,2.Rest of US,Mobile,p0,3,2,2,1,284.0,284.0,1874.0,2554.0,29.2,,0,0,1.0,6313
2072,existing,1.Platinum,2.Rest of US,Backend Systems,p0,5,1,3,2,0.0,0,170.0,292.0,11.7,,0,2,0.0,8746
2073,existing,1.Platinum,2.Rest of US,Mobile,p0,2,2,2,0,284.0,No Nice have skill,2078.0,No Nice have skill,11.7,,0,0,1.0,8330
2074,new,1.Platinum,2.Rest of US,Mobile,p0,3,2,2,1,284.0,284.0,1874.0,2554.0,29.2,,0,0,1.0,6324
2075,existing,1.Platinum,2.Rest of US,Mobile,p1,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,11.7,,0,0,0.0,8575
2076,existing,1.Platinum,2.Rest of US,Backend Systems,p1,6,4,3,3,0.0,0,21.0,220.0,11.7,,0,2,0.0,9167
2077,existing,1.Platinum,2.Rest of US,Backend Systems,,4,5,2,2,926.0,0,2146.0,67.0,11.7,,0,2,1.0,8007
2079,new,1.Platinum,2.Rest of US,,,4,2,4,0,0.0,No Nice have skill,403.0,No Nice have skill,29.2,,0,0,1.0,5972
2080,existing,1.Platinum,2.Rest of US,,p0,5,2,3,2,0.0,0,690.0,437.0,29.2,,0,2,1.0,6555
2081,new,1.Platinum,3.Top 30 GDP,DevOps,p0,8,8,3,5,0.0,0,1280.0,15.0,5.8,,0,2,0.0,6827
2082,new,1.Platinum,2.Rest of US,Other,p0,6,6,4,2,0.0,6.0,14.0,234.0,29.2,,0,2,0.0,7197
2083,new,1.Platinum,2.Rest of US,Backend Systems,p0,6,7,3,3,129.0,0,3207.0,12.0,29.2,,0,2,0.0,7275
2084,new,1.Platinum,3.Top 30 GDP,DevOps,,5,3,3,2,0.0,0,173.0,14.0,5.8,,0,2,0.0,7649
2085,new,1.Platinum,3.Top 30 GDP,Backend Systems,p0,5,5,3,2,0.0,0,191.0,67.0,5.8,,0,2,0.0,7723
2088,new,1.Platinum,2.Rest of US,Full Stack,p1,6,7,2,4,79.0,0,1024.0,121.0,29.2,,0,2,0.0,7911
2089,new,1.Platinum,2.Rest of US,,,3,4,3,0,9.0,No Nice have skill,291.0,No Nice have skill,29.2,,0,0,1.0,8506
2091,new,1.Platinum,4.Others,Backend Systems,p0,3,5,2,1,825.0,4251.0,7895.0,15643.0,1.9,,0,2,0.0,8461
2094,new,1.Platinum,2.Rest of US,Full Stack,p1,6,6,3,3,139.0,141.0,1029.0,10156.0,29.2,,0,2,0.0,9312
2145,new,1.Platinum,1.Bay Area,Mobile,p0,5,2,3,2,873.0,0,497.0,126.0,,40.0,0,2,0.0,684
2213,new,1.Platinum,1.Bay Area,Mobile,p1,7,4,5,2,81.0,0,711.0,126.0,,40.0,0,2,0.0,685
2228,new,1.Platinum,1.Bay Area,Web Backend,p0,11,10,8,3,0.0,32.0,0.0,143.0,29.2,40.0,0,2,0.0,883
2235,new,1.Platinum,2.Rest of US,Web Backend,p0,2,1,2,0,0.0,No Nice have skill,1012.0,No Nice have skill,23.4,40.0,0,0,0.0,968
2242,new,1.Platinum,1.Bay Area,Data Engineering,p0,7,6,5,2,0.0,18.0,61.0,1656.0,29.2,40.0,0,2,0.0,884
2244,new,1.Platinum,2.Rest of US,Web Backend,p0,4,1,4,0,0.0,No Nice have skill,0.0,No Nice have skill,23.4,40.0,0,0,0.0,969
2356,new,1.Platinum,1.Bay Area,Web Backend,p0,7,4,3,4,0.0,0,1926.0,5.0,,40.0,0,2,1.0,683
2357,new,1.Platinum,1.Bay Area,Fullstack (FE-heavy),p0,6,5,3,3,323.0,0,3784.0,213.0,29.2,40.0,0,2,0.0,882
2385,existing,1.Platinum,2.Rest of US,Web Frontend,p0,4,5,4,0,29.0,No Nice have skill,6025.0,No Nice have skill,29.2,40.0,0,0,1.0,5896
2455,existing,1.Platinum,2.Rest of US,Full Stack,p1,12,7,6,6,0.0,0,36.0,4.0,11.7,40.0,0,2,0.0,8270
2456,existing,1.Platinum,2.Rest of US,Full Stack,p1,12,7,6,6,0.0,0,36.0,4.0,11.7,40.0,0,2,1.0,8373
2457,existing,1.Platinum,2.Rest of US,Full Stack,p1,10,6,6,4,0.0,0,36.0,23.0,11.7,40.0,0,2,0.0,8271
2458,existing,1.Platinum,2.Rest of US,Full Stack,p1,3,2,3,0,0.0,No Nice have skill,2448.0,No Nice have skill,11.7,40.0,0,0,1.0,8867
2459,existing,1.Platinum,2.Rest of US,QA,p0,5,3,2,3,0.0,0,483.0,686.0,11.7,40.0,0,2,0.0,8975
2460,existing,1.Platinum,2.Rest of US,UI/UX Developer,,3,1,3,0,0.0,No Nice have skill,0.0,No Nice have skill,11.7,40.0,0,0,1.0,9397
2461,existing,1.Platinum,2.Rest of US,Designer,p1,1,1,1,0,509.0,No Nice have skill,641.0,No Nice have skill,11.7,40.0,0,0,0.0,8289
2462,existing,1.Platinum,2.Rest of US,Other,p1,5,4,1,4,6922.0,0,16794.0,33.0,11.7,40.0,0,1,0.0,8273
2463,existing,1.Platinum,2.Rest of US,Machine Learning,p1,8,6,4,4,0.0,0,77.0,152.0,11.7,40.0,0,2,0.0,8272
2464,existing,1.Platinum,2.Rest of US,Full Stack,p0,10,10,5,5,0.0,0,1874.0,79.0,11.7,40.0,0,2,1.0,8106
2465,existing,1.Platinum,2.Rest of US,Full Stack,p0,10,10,5,5,0.0,0,1874.0,79.0,11.7,40.0,0,2,1.0,8108
2466,existing,1.Platinum,2.Rest of US,Full Stack,p0,5,4,5,0,0.0,No Nice have skill,732.0,No Nice have skill,11.7,40.0,0,0,1.0,8257
2561,new,1.Platinum,2.Rest of US,Web Backend,p0,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,56.6,40.0,0,1,0.0,1370
2562,new,1.Platinum,2.Rest of US,Web Backend,p0,1,1,1,0,5048.0,No Nice have skill,15171.0,No Nice have skill,56.6,40.0,0,1,0.0,1367
2563,new,1.Platinum,2.Rest of US,Web Backend,p0,1,0,1,0,0.0,No Nice have skill,2069.0,No Nice have skill,56.6,40.0,0,0,0.0,1368
2564,new,1.Platinum,2.Rest of US,Web Backend,p0,1,1,1,0,645.0,No Nice have skill,1558.0,No Nice have skill,56.6,40.0,0,0,0.0,1369
2570,new,1.Platinum,1.Bay Area,Web Frontend,p1,2,3,2,0,1479.0,No Nice have skill,6563.0,No Nice have skill,56.6,40.0,0,0,0.0,1411
2646,new,1.Platinum,2.Rest of US,Data Engineering,p1,7,3,4,3,0.0,0,2.0,0,29.2,40.0,0,2,0.0,1775
2647,new,1.Platinum,2.Rest of US,Web Backend,p1,2,3,2,0,68.0,No Nice have skill,2540.0,No Nice have skill,29.2,40.0,0,0,0.0,2084
2648,new,1.Platinum,2.Rest of US,Web Frontend,p1,6,6,4,2,29.0,0,6025.0,883.0,29.2,40.0,0,2,0.0,1769
2674,new,1.Platinum,3.Top 30 GDP,Web Frontend,p1,5,6,4,1,18.0,6582.0,3303.0,1109.0,4.7,40.0,0,2,0.0,1833
2675,new,1.Platinum,3.Top 30 GDP,Web Backend,p1,9,6,1,8,752.0,0,1103.0,2.0,4.7,40.0,0,2,0.0,1832
2681,existing,1.Platinum,2.Rest of US,Web Frontend,p1,9,8,3,6,146.0,0,961.0,1.0,29.2,40.0,0,2,0.0,8774
2682,existing,1.Platinum,2.Rest of US,DevOps,p0,3,3,3,0,0.0,No Nice have skill,136.0,No Nice have skill,29.2,40.0,0,0,1.0,4262
2685,existing,1.Platinum,1.Bay Area,Other,p0,3,3,3,0,0.0,No Nice have skill,210.0,No Nice have skill,56.6,40.0,0,0,1.0,3825
2686,existing,1.Platinum,1.Bay Area,Data Engineering,p0,6,4,5,1,0.0,148.0,14.0,11204.0,56.6,40.0,0,2,0.0,3823
2687,new,1.Platinum,1.Bay Area,Mobile,p0,5,2,2,3,0.0,0,561.0,0,56.6,40.0,0,2,1.0,2284
2688,existing,1.Platinum,1.Bay Area,Data Engineering,p0,4,3,4,0,0.0,No Nice have skill,58.0,No Nice have skill,56.6,40.0,0,0,0.0,3824
2693,new,1.Platinum,1.Bay Area,Full Stack,p0,6,4,4,2,1.0,0,99.0,126.0,56.6,40.0,0,2,0.0,5344
2703,new,1.Platinum,1.Bay Area,Web Frontend,p0,10,11,2,8,105.0,0,12001.0,1.0,56.6,40.0,0,2,1.0,1969
2718,new,1.Platinum,1.Bay Area,Full Stack,p0,9,13,2,7,33.0,0,9581.0,2.0,56.6,40.0,0,2,0.0,2019
2719,existing,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,56.6,40.0,0,1,0.0,4086
2720,existing,1.Platinum,1.Bay Area,Full Stack,p0,4,6,2,2,33.0,132.0,9581.0,1712.0,56.6,40.0,0,2,0.0,4036
2721,new,1.Platinum,1.Bay Area,QA,p0,3,2,3,0,0.0,No Nice have skill,232.0,No Nice have skill,56.6,40.0,0,0,0.0,4015
2722,existing,1.Platinum,1.Bay Area,QA,p1,3,0,3,0,0.0,No Nice have skill,1.0,No Nice have skill,56.6,40.0,0,0,0.0,8400
2723,new,1.Platinum,1.Bay Area,Web Backend,p0,5,4,1,4,752.0,0,1103.0,5.0,56.6,40.0,0,2,0.0,6592
2724,existing,1.Platinum,1.Bay Area,Mobile,p1,3,5,2,1,19.0,436.0,442.0,21126.0,56.6,40.0,0,2,1.0,8399
2725,new,1.Platinum,1.Bay Area,QA,p0,3,2,3,0,0.0,No Nice have skill,232.0,No Nice have skill,56.6,40.0,0,0,0.0,4016
2726,new,1.Platinum,1.Bay Area,DevOps,p0,3,1,3,0,0.0,No Nice have skill,103.0,No Nice have skill,56.6,40.0,0,0,0.0,4017
2727,new,1.Platinum,1.Bay Area,Web Frontend,p0,5,6,3,2,157.0,0,2234.0,334.0,56.6,40.0,0,2,0.0,3494
2728,existing,1.Platinum,1.Bay Area,Web Frontend,p0,5,6,3,2,157.0,0,2234.0,334.0,56.6,40.0,0,2,1.0,7601
2729,new,1.Platinum,1.Bay Area,Fullstack (BE-heavy),p0,4,4,1,3,752.0,2.0,1103.0,625.0,56.6,40.0,0,2,0.0,3497
2730,new,1.Platinum,1.Bay Area,DevOps,p0,2,1,2,0,0.0,No Nice have skill,148.0,No Nice have skill,56.6,40.0,0,0,1.0,6716
2731,new,1.Platinum,1.Bay Area,Web Frontend,p0,3,4,3,0,157.0,No Nice have skill,2234.0,No Nice have skill,56.6,40.0,0,0,1.0,7047
2761,new,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,3,4,2,1,769.0,2342.0,2672.0,5158.0,29.2,30.0,0,0,1.0,4063
2766,new,1.Platinum,2.Rest of US,DevOps,p0,7,6,3,4,33.0,0,1521.0,17.0,23.4,40.0,0,2,1.0,5064
2768,new,1.Platinum,2.Rest of US,Web Frontend,p0,6,8,3,3,18.0,0,2385.0,653.0,29.2,40.0,0,2,0.0,3125
2770,new,1.Platinum,2.Rest of US,Web Backend,p0,7,3,4,3,0.0,0,148.0,360.0,29.2,40.0,0,2,0.0,3126
2792,new,1.Platinum,2.Rest of US,,,3,4,3,0,146.0,No Nice have skill,961.0,No Nice have skill,13.0,,0,0,1.0,9062
2800,new,1.Platinum,3.Top 30 GDP,Web Frontend,p1,3,3,1,2,2214.0,0,4939.0,112.0,5.8,40.0,0,2,1.0,3734
