,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,target,job_id,developer_chosen
2484,existing,3.Silver,1.Bay Area,Full Stack,p1,3,4,3,0,146.0,No Nice have skill,2223.0,No Nice have skill,9.1,40.0,0,5,0.0,2913,0.0
2485,existing,3.Silver,1.Bay Area,Full Stack,p0,3,4,3,0,146.0,No Nice have skill,2223.0,No Nice have skill,14.7,40.0,0,5,0.0,1278,0.0
2486,new,4.Bronze,2.Rest of US,Mobile,p0,3,3,1,2,0.0,62.0,1088.0,715.0,7.4,40.0,0,3,1.0,1426,1.0
2487,existing,4.Bronze,2.Rest of US,Web Backend,p0,2,2,2,0,16.0,No Nice have skill,5163.0,No Nice have skill,3.9,40.0,0,5,0.0,2121,0.0
2488,new,4.Bronze,2.Rest of US,Web Backend,p0,7,7,1,6,0.0,1.0,1312.0,4.0,7.4,40.0,0,4,1.0,1427,1.0
2489,new,4.Bronze,1.Bay Area,Full Stack,p1,6,6,4,2,6.0,0,593.0,32.0,11.5,40.0,0,4,0.0,1861,0.0
2490,new,4.Bronze,1.Bay Area,Web Backend,p1,8,8,2,6,1156.0,0,3834.0,3.0,11.5,40.0,0,1,0.0,1860,0.0
2491,existing,4.Bronze,1.Bay Area,Web Backend,p0,13,10,7,6,0.0,0,11.0,2.0,5.85,40.0,0,1,1.0,2472,1.0
2492,existing,4.Bronze,1.Bay Area,Web Backend,p1,3,5,3,0,0.0,No Nice have skill,1361.0,No Nice have skill,5.85,40.0,0,5,0.0,1572,0.0
2493,existing,4.Bronze,1.Bay Area,Full Stack,p0,9,12,6,3,0.0,21.0,56.0,327.0,5.85,40.0,0,1,1.0,2529,1.0
2494,new,3.Silver,2.Rest of US,Full Stack,p1,5,4,2,3,0.0,0,55.0,508.0,13.0,40.0,0,4,0.0,2674,0.0
2495,new,4.Bronze,1.Bay Area,Full Stack,,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,11.5,40.0,0,3,1.0,2753,1.0
2496,new,4.Bronze,1.Bay Area,Mobile,p1,2,3,2,0,56.0,No Nice have skill,2946.0,No Nice have skill,7.4,40.0,0,3,0.0,1718,0.0
2497,new,4.Bronze,1.Bay Area,Web Backend,p0,6,5,2,4,0.0,0,3329.0,122.0,11.5,40.0,0,4,0.0,1133,0.0
2498,new,4.Bronze,1.Bay Area,Data Engineering,p0,5,4,3,2,0.0,0,1004.0,717.0,11.5,40.0,0,4,0.0,1134,0.0
2499,new,4.Bronze,2.Rest of US,Web Frontend,p0,6,5,2,4,645.0,0,2472.0,165.0,11.5,40.0,0,4,0.0,1143,0.0
2500,new,2.Gold,1.Bay Area,Web Backend,p0,10,7,7,3,0.0,141.0,1.0,10156.0,22.2,40.0,0,1,0.0,1147,0.0
2501,new,2.Gold,1.Bay Area,UI/UX Developer,p0,8,9,8,0,0.0,No Nice have skill,0.0,No Nice have skill,22.2,40.0,0,2,0.0,1148,0.0
2504,new,4.Bronze,2.Rest of US,Full Stack,p0,2,0,2,0,0.0,No Nice have skill,4.0,No Nice have skill,7.4,40.0,0,3,0.0,1157,0.0
2505,new,4.Bronze,1.Bay Area,Fullstack (BE-heavy),p0,10,8,4,6,5.0,0,2314.0,0,11.5,20.0,0,1,0.0,1158,0.0
2506,new,4.Bronze,1.Bay Area,Fullstack (FE-heavy),p0,5,4,3,2,0.0,0,14.0,88.0,11.5,40.0,0,4,0.0,2317,0.0
2507,new,4.Bronze,2.Rest of US,Data Engineering,p0,7,4,3,4,0.0,0,2175.0,11.0,7.4,40.0,0,4,0.0,1263,0.0
2508,new,4.Bronze,2.Rest of US,Web Backend,p0,9,7,2,7,50.0,0,6864.0,0,7.4,40.0,0,1,0.0,1160,0.0
2509,new,4.Bronze,2.Rest of US,Web Frontend,p0,9,6,2,7,1479.0,0,6563.0,1.0,7.4,40.0,0,1,1.0,1159,1.0
2510,new,2.Gold,4.Others,Web Frontend,p1,2,3,2,0,292.0,No Nice have skill,2582.0,No Nice have skill,23.4,40.0,0,2,0.0,3182,0.0
2512,new,2.Gold,4.Others,Web Backend,p0,5,4,2,3,0.0,0,625.0,15.0,23.4,40.0,0,2,0.0,1177,0.0
2513,new,3.Silver,1.Bay Area,Backend Systems,p0,2,1,2,0,0.0,No Nice have skill,208.0,No Nice have skill,14.7,40.0,0,3,0.0,1186,0.0
2515,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,5,5,3,2,17.0,0,245.0,127.0,7.4,40.0,0,4,0.0,1190,0.0
2516,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p0,5,5,3,2,17.0,0,245.0,127.0,7.4,40.0,0,4,0.0,1189,0.0
2517,new,4.Bronze,4.Others,DevOps,p0,8,7,2,6,0.0,0,3621.0,2.0,0.5,20.0,0,4,0.0,1191,0.0
2518,new,2.Gold,2.Rest of US,Web Backend,p0,5,7,4,1,0.0,3749.0,159.0,4285.0,23.4,40.0,0,2,0.0,1197,0.0
2519,new,4.Bronze,2.Rest of US,Full Stack,p0,4,5,3,1,9.0,4251.0,147.0,15643.0,7.4,40.0,0,4,0.0,1199,0.0
2520,new,4.Bronze,2.Rest of US,Web Frontend,p0,4,5,1,3,4251.0,48.0,15643.0,596.0,7.4,40.0,0,0,1.0,1198,1.0
2521,new,4.Bronze,1.Bay Area,Backend Systems,p1,4,3,4,0,0.0,No Nice have skill,236.0,No Nice have skill,11.5,40.0,0,3,0.0,2741,0.0
2522,new,4.Bronze,1.Bay Area,Other,p1,5,5,4,1,0.0,714.0,19.0,4022.0,11.5,40.0,0,4,0.0,3530,0.0
2523,new,4.Bronze,1.Bay Area,Web Backend,p0,2,2,2,0,8.0,No Nice have skill,555.0,No Nice have skill,11.5,40.0,0,3,0.0,1217,0.0
2524,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p1,7,8,3,4,719.0,7.0,5264.0,994.0,14.7,40.0,0,2,0.0,2039,0.0
2525,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p0,7,8,2,5,1410.0,2.0,10025.0,394.0,14.7,40.0,0,1,0.0,1221,0.0
2526,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p0,9,8,4,5,0.0,2.0,204.0,83.0,14.7,40.0,0,1,0.0,1223,0.0
2527,new,4.Bronze,2.Rest of US,Web Backend,p0,6,4,1,5,0.0,0,513.0,116.0,7.4,40.0,0,4,0.0,1226,0.0
2528,new,4.Bronze,2.Rest of US,Mobile,p1,3,2,1,2,873.0,0,1501.0,112.0,7.4,40.0,0,4,0.0,1456,0.0
2529,new,4.Bronze,2.Rest of US,Mobile,p0,2,2,2,0,0.0,No Nice have skill,16.0,No Nice have skill,7.4,40.0,0,3,0.0,1228,0.0
2530,new,4.Bronze,2.Rest of US,Mobile,p0,3,1,1,2,873.0,0,1501.0,1.0,7.4,40.0,0,4,0.0,1227,0.0
2531,new,4.Bronze,1.Bay Area,Web Backend,p1,3,5,2,3,541.0,0,6042.0,1361.0,11.5,40.0,0,4,1.0,2166,1.0
2532,new,4.Bronze,1.Bay Area,Web Frontend,p1,2,4,2,0,105.0,No Nice have skill,12001.0,No Nice have skill,11.5,40.0,0,3,1.0,2165,1.0
2533,new,4.Bronze,1.Bay Area,DevOps,p1,4,5,4,0,0.0,No Nice have skill,2.0,No Nice have skill,11.5,40.0,0,3,0.0,2164,0.0
2534,new,4.Bronze,1.Bay Area,Machine Learning,p0,4,4,3,1,0.0,148.0,142.0,3180.0,11.5,40.0,0,4,0.0,1231,0.0
2535,new,3.Silver,4.Others,DevOps,p1,7,7,5,2,0.0,0,95.0,148.0,0.9,40.0,0,4,0.0,1253,0.0
2536,new,4.Bronze,2.Rest of US,Web Backend,p1,7,6,3,4,67.0,0,5283.0,224.0,7.4,40.0,0,4,0.0,1262,0.0
2537,new,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,4,5,3,1,0.0,6922.0,148.0,8131.0,13.0,40.0,0,2,0.0,1274,0.0
2538,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p0,3,4,3,0,184.0,No Nice have skill,2428.0,No Nice have skill,7.4,40.0,0,3,0.0,1279,0.0
2539,new,2.Gold,1.Bay Area,Web Backend,p1,3,5,2,1,15.0,752.0,6299.0,1103.0,22.2,20.0,0,2,0.0,1977,0.0
2540,new,2.Gold,1.Bay Area,Mobile,p1,4,4,2,2,873.0,1.0,178.0,87.0,22.2,40.0,0,2,0.0,1457,0.0
2541,new,2.Gold,1.Bay Area,Web Backend,p0,4,5,3,1,0.0,752.0,972.0,1103.0,22.2,20.0,0,2,0.0,1281,0.0
2542,new,4.Bronze,1.Bay Area,Web Frontend,p1,7,8,3,4,54.0,0,5624.0,39.0,11.5,40.0,0,1,0.0,1295,0.0
2543,new,4.Bronze,1.Bay Area,Machine Learning,p1,5,5,5,0,0.0,No Nice have skill,123.0,No Nice have skill,11.5,40.0,0,3,0.0,1297,0.0
2544,new,3.Silver,1.Bay Area,Web Frontend,,2,4,2,0,85.0,No Nice have skill,3844.0,No Nice have skill,14.7,40.0,0,3,0.0,1298,0.0
2545,new,4.Bronze,2.Rest of US,Full Stack,p1,4,4,3,1,0.0,1442.0,56.0,4615.0,7.4,40.0,0,4,1.0,1299,1.0
2546,new,4.Bronze,2.Rest of US,Machine Learning,p1,8,5,2,6,1370.0,0,6141.0,0,7.4,40.0,0,4,1.0,1303,1.0
2547,new,4.Bronze,2.Rest of US,Data Engineering,p1,2,1,2,0,0.0,No Nice have skill,1014.0,No Nice have skill,7.4,40.0,0,3,0.0,1325,0.0
2548,new,3.Silver,2.Rest of US,Web Backend,p1,1,1,1,0,645.0,No Nice have skill,1558.0,No Nice have skill,13.0,40.0,0,3,0.0,1326,0.0
2549,new,3.Silver,2.Rest of US,Web Frontend,p1,1,1,1,0,8.0,No Nice have skill,109.0,No Nice have skill,13.0,40.0,0,3,0.0,1327,0.0
2550,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,6,5,4,2,0.0,0,482.0,113.0,7.4,40.0,0,4,1.0,1328,1.0
2552,new,2.Gold,2.Rest of US,Fullstack (BE-heavy),p1,6,8,4,2,25.0,1164.0,1085.0,5959.0,23.4,40.0,0,2,0.0,1329,0.0
2553,new,2.Gold,2.Rest of US,Web Backend,p1,5,7,2,3,343.0,0,3427.0,1397.0,23.4,40.0,0,2,0.0,1330,0.0
2554,new,4.Bronze,2.Rest of US,Web Backend,p1,1,0,1,0,0.0,No Nice have skill,1049.0,No Nice have skill,7.4,40.0,0,3,0.0,1331,0.0
2555,new,4.Bronze,2.Rest of US,Web Backend,p1,1,0,1,0,0.0,No Nice have skill,1049.0,No Nice have skill,7.4,40.0,0,3,0.0,1918,0.0
2556,new,4.Bronze,2.Rest of US,Web Backend,p1,4,1,3,1,0.0,6922.0,4.0,614.0,7.4,40.0,0,3,0.0,1343,0.0
2557,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,8,6,3,5,0.0,0,246.0,341.0,7.4,40.0,0,1,0.0,1349,0.0
2558,new,3.Silver,1.Bay Area,Fullstack (FE-heavy),p1,5,5,5,0,0.0,No Nice have skill,17.0,No Nice have skill,14.7,40.0,0,2,0.0,1353,0.0
2559,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,6,7,3,3,239.0,2.0,357.0,739.0,7.4,40.0,0,4,0.0,1355,0.0
2560,new,4.Bronze,4.Others,Fullstack (FE-heavy),,5,6,3,2,199.0,111.0,3807.0,163.0,7.4,40.0,0,4,0.0,2697,0.0
2565,new,3.Silver,1.Bay Area,Data Engineering,p1,3,3,3,0,0.0,No Nice have skill,259.0,No Nice have skill,14.7,40.0,0,2,0.0,1374,0.0
2566,new,3.Silver,1.Bay Area,Fullstack (BE-heavy),p1,7,7,3,4,7.0,0,530.0,4.0,14.7,40.0,0,1,0.0,1373,0.0
2567,new,4.Bronze,3.Top 30 GDP,Web Frontend,p1,2,2,1,1,0.0,4251.0,16.0,15643.0,1.5,40.0,0,4,0.0,1383,0.0
2568,new,4.Bronze,1.Bay Area,Fullstack (FE-heavy),p1,4,6,3,1,163.0,680.0,4650.0,5201.0,11.5,40.0,0,3,0.0,1384,0.0
2569,existing,4.Bronze,2.Rest of US,Web Backend,p0,1,2,1,0,9808.0,No Nice have skill,17893.0,No Nice have skill,3.9,40.0,0,0,1.0,1407,1.0
2571,new,4.Bronze,2.Rest of US,Full Stack,p1,5,4,4,1,28.0,0,818.0,2309.0,7.4,20.0,0,4,1.0,1421,1.0
2572,existing,4.Bronze,2.Rest of US,,,5,4,4,1,28.0,0,482.0,2309.0,7.4,,0,5,1.0,2605,1.0
2573,new,4.Bronze,1.Bay Area,Embedded Systems,p1,9,6,4,5,0.0,0,15.0,0,11.5,40.0,0,1,0.0,1422,0.0
2574,new,4.Bronze,2.Rest of US,Data Engineering,p1,4,3,2,2,0.0,168.0,25.0,2221.0,7.4,40.0,0,4,0.0,1423,0.0
2575,new,4.Bronze,2.Rest of US,Web Frontend,p0,2,3,1,1,4251.0,4228.0,15643.0,13071.0,7.4,40.0,0,0,0.0,1430,0.0
2577,new,3.Silver,4.Others,Mobile,p1,2,2,1,1,1442.0,873.0,4615.0,1070.0,0.9,40.0,0,4,0.0,1431,0.0
2578,new,4.Bronze,2.Rest of US,Web Frontend,p1,4,5,2,2,1479.0,63.0,6563.0,731.0,7.4,15.0,0,3,1.0,1432,1.0
2579,new,4.Bronze,2.Rest of US,Web Backend,p1,7,9,5,2,0.0,132.0,183.0,7318.0,,15.0,0,1,1.0,1433,1.0
2580,new,4.Bronze,3.Top 30 GDP,Web Frontend,p1,2,3,2,0,88.0,No Nice have skill,6539.0,No Nice have skill,1.5,40.0,0,3,0.0,1435,0.0
2581,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,1,2,1,0,2070.0,No Nice have skill,2286.0,No Nice have skill,7.4,40.0,0,3,0.0,1438,0.0
2582,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,3,4,3,0,8.0,No Nice have skill,65.0,No Nice have skill,7.4,40.0,0,3,0.0,1445,0.0
2583,new,2.Gold,2.Rest of US,Web Backend,p1,2,2,1,1,4228.0,3188.0,13071.0,8619.0,23.4,40.0,0,0,1.0,1449,1.0
2584,new,2.Gold,2.Rest of US,Web Backend,p1,2,2,1,1,4228.0,3188.0,13071.0,8619.0,23.4,40.0,0,0,0.0,1447,0.0
2585,new,2.Gold,2.Rest of US,Data Engineering,p1,4,1,4,0,0.0,No Nice have skill,15.0,No Nice have skill,23.4,40.0,0,2,0.0,1450,0.0
2586,new,2.Gold,2.Rest of US,Web Backend,p1,2,2,1,1,4228.0,3188.0,13071.0,8619.0,23.4,40.0,0,0,0.0,1623,0.0
2587,new,2.Gold,2.Rest of US,Web Backend,p1,2,2,1,1,4228.0,3188.0,13071.0,8619.0,4.7,40.0,0,0,0.0,1448,0.0
2588,new,4.Bronze,1.Bay Area,Web Frontend,p1,3,4,2,1,574.0,560.0,5797.0,2959.0,7.4,40.0,0,4,0.0,1454,0.0
2589,new,4.Bronze,1.Bay Area,Web Backend,p1,4,4,2,2,28.0,25.0,419.0,477.0,7.4,40.0,0,4,1.0,1477,1.0
2590,new,4.Bronze,1.Bay Area,Web Backend,p1,4,4,2,2,28.0,25.0,419.0,477.0,7.4,40.0,0,4,0.0,1574,0.0
2591,existing,4.Bronze,1.Bay Area,Backend Systems,p1,5,3,2,3,0.0,0,794.0,437.0,3.9,40.0,0,5,0.0,2900,0.0
2592,existing,4.Bronze,1.Bay Area,Web Backend,p1,7,3,2,5,0.0,0,794.0,1.0,3.9,40.0,0,4,0.0,2899,0.0
2593,existing,4.Bronze,1.Bay Area,Web Frontend,p1,8,8,4,4,29.0,0,6025.0,16.0,3.9,40.0,0,1,0.0,2901,0.0
2594,existing,4.Bronze,1.Bay Area,Web Backend,p1,8,7,6,2,0.0,25.0,9.0,477.0,3.9,40.0,0,1,0.0,2840,0.0
2595,existing,2.Gold,1.Bay Area,Mobile,p0,2,1,2,0,0.0,No Nice have skill,616.0,No Nice have skill,22.2,40.0,0,5,1.0,1791,1.0
2596,existing,2.Gold,1.Bay Area,DevOps,p0,4,3,4,0,0.0,No Nice have skill,384.0,No Nice have skill,22.2,40.0,0,2,0.0,2229,0.0
2597,new,2.Gold,1.Bay Area,DevOps,p0,4,3,4,0,0.0,No Nice have skill,384.0,No Nice have skill,22.2,40.0,0,2,1.0,1474,1.0
2598,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,4,4,2,2,1410.0,0,10025.0,222.0,7.4,15.0,0,4,0.0,1476,0.0
2599,new,4.Bronze,2.Rest of US,Full Stack,p1,12,10,3,9,239.0,0,4525.0,1.0,11.5,40.0,0,1,0.0,1479,0.0
2600,new,4.Bronze,2.Rest of US,Web Backend,p1,5,3,2,3,1375.0,0,6140.0,58.0,7.4,40.0,0,4,1.0,1486,1.0
2601,new,4.Bronze,2.Rest of US,Web Frontend,p1,5,4,2,3,351.0,0,1807.0,15.0,7.4,40.0,0,4,1.0,1489,1.0
2602,existing,4.Bronze,2.Rest of US,Web Frontend,p0,8,9,2,6,132.0,0,7318.0,0,3.9,40.0,0,1,1.0,1699,1.0
2603,new,4.Bronze,2.Rest of US,Full Stack,p1,4,3,4,0,0.0,No Nice have skill,321.0,No Nice have skill,7.4,40.0,0,3,0.0,1492,0.0
2604,new,4.Bronze,2.Rest of US,Web Backend,p0,2,2,2,0,317.0,No Nice have skill,2132.0,No Nice have skill,7.4,15.0,0,3,0.0,1520,0.0
2605,new,4.Bronze,3.Top 30 GDP,Fullstack (FE-heavy),p1,5,5,3,2,143.0,0,2718.0,528.0,1.5,40.0,0,4,0.0,2693,0.0
2606,new,4.Bronze,3.Top 30 GDP,Fullstack (FE-heavy),p1,8,8,1,7,4251.0,0,15643.0,2.0,1.5,40.0,0,0,0.0,1525,0.0
2607,new,4.Bronze,1.Bay Area,Web Backend,p1,4,3,2,2,0.0,825.0,128.0,7895.0,11.5,40.0,0,3,0.0,1537,0.0
2608,new,4.Bronze,1.Bay Area,Web Backend,p1,4,4,2,2,0.0,825.0,588.0,7895.0,11.5,40.0,0,3,0.0,1538,0.0
2609,new,3.Silver,2.Rest of US,Full Stack,p1,5,6,5,0,0.0,No Nice have skill,76.0,No Nice have skill,13.0,40.0,0,3,0.0,1553,0.0
2610,new,3.Silver,2.Rest of US,Web Backend,p1,7,7,3,4,8.0,0,2143.0,284.0,13.0,40.0,0,1,0.0,1552,0.0
2611,existing,3.Silver,2.Rest of US,,,3,3,0,3,0.0,254.0,0.0,2166.0,6.5,,0,5,0.0,3025,0.0
2612,new,4.Bronze,2.Rest of US,Full Stack,p1,4,6,4,0,2.0,No Nice have skill,414.0,No Nice have skill,7.4,40.0,0,3,0.0,1573,0.0
2614,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,3,4,2,1,16.0,4251.0,5163.0,15643.0,7.4,40.0,0,4,1.0,1621,1.0
2615,new,4.Bronze,2.Rest of US,Web Frontend,p0,4,5,2,2,23.0,16.0,347.0,5163.0,7.4,40.0,0,4,1.0,1581,1.0
2616,new,4.Bronze,2.Rest of US,Mobile,p1,3,4,3,0,14.0,No Nice have skill,1949.0,No Nice have skill,7.4,40.0,0,3,1.0,1582,1.0
2617,existing,4.Bronze,2.Rest of US,Mobile,p1,3,4,3,0,14.0,No Nice have skill,1949.0,No Nice have skill,3.9,40.0,0,5,1.0,1828,1.0
2618,new,4.Bronze,4.Others,Fullstack (FE-heavy),p1,7,5,3,4,0.0,0,28.0,9.0,0.5,40.0,0,4,0.0,1592,0.0
2619,new,4.Bronze,2.Rest of US,Web Frontend,p1,5,4,2,3,1479.0,0,6563.0,20.0,7.4,40.0,0,4,0.0,1595,0.0
2620,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p2,2,3,2,0,292.0,No Nice have skill,2582.0,No Nice have skill,7.4,40.0,0,3,0.0,2650,0.0
2621,new,4.Bronze,2.Rest of US,Web Backend,p1,2,3,1,1,752.0,2214.0,1103.0,4939.0,7.4,20.0,0,4,1.0,1620,1.0
2622,new,4.Bronze,2.Rest of US,Mobile,p1,2,3,1,1,1442.0,2214.0,4615.0,4939.0,7.4,20.0,0,4,1.0,1619,1.0
2623,new,4.Bronze,2.Rest of US,Web Backend,p1,3,5,1,2,752.0,389.0,1103.0,2963.0,7.4,20.0,0,4,0.0,1717,0.0
2624,existing,4.Bronze,2.Rest of US,Mobile,p1,2,3,1,1,1442.0,2214.0,4615.0,4939.0,3.9,20.0,0,5,0.0,1958,0.0
2625,new,2.Gold,1.Bay Area,Fullstack (BE-heavy),p1,2,3,2,0,44.0,No Nice have skill,2865.0,No Nice have skill,22.2,40.0,0,2,0.0,1627,0.0
2626,new,2.Gold,1.Bay Area,Fullstack (BE-heavy),p1,5,4,3,2,0.0,189.0,410.0,2020.0,22.2,40.0,0,2,0.0,2713,0.0
2627,new,2.Gold,1.Bay Area,Web Frontend,p1,2,2,2,0,0.0,No Nice have skill,7168.0,No Nice have skill,22.2,40.0,0,2,0.0,1628,0.0
2628,new,3.Silver,1.Bay Area,Fullstack (FE-heavy),p1,2,4,2,0,439.0,No Nice have skill,7364.0,No Nice have skill,14.7,40.0,0,3,0.0,1629,0.0
2629,existing,4.Bronze,2.Rest of US,Mobile,p0,2,1,2,0,0.0,No Nice have skill,534.0,No Nice have skill,3.9,40.0,0,5,1.0,3049,1.0
2630,new,4.Bronze,2.Rest of US,Web Frontend,p1,4,4,4,0,33.0,No Nice have skill,1817.0,No Nice have skill,7.4,40.0,0,3,1.0,1650,1.0
2631,existing,4.Bronze,2.Rest of US,Web Frontend,p1,5,4,2,3,645.0,0,2472.0,728.0,3.9,40.0,0,5,1.0,3250,1.0
2632,new,4.Bronze,2.Rest of US,Mobile,p1,2,1,2,0,0.0,No Nice have skill,534.0,No Nice have skill,7.4,40.0,0,3,1.0,1649,1.0
2633,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,6,4,2,4,1375.0,0,6140.0,8.0,3.9,40.0,0,5,1.0,2220,1.0
2634,new,4.Bronze,1.Bay Area,Full Stack,p1,7,7,2,5,1410.0,0,10025.0,80.0,11.5,40.0,0,4,0.0,1652,0.0
2635,new,4.Bronze,2.Rest of US,Web Frontend,p0,2,3,1,1,4251.0,479.0,15643.0,2831.0,7.4,20.0,0,0,0.0,1669,0.0
2636,new,4.Bronze,1.Bay Area,Full Stack,p0,4,4,2,2,79.0,0,1024.0,289.0,11.5,40.0,0,4,1.0,1676,1.0
2637,new,3.Silver,2.Rest of US,Fullstack (FE-heavy),p1,6,8,2,4,1410.0,0,10025.0,118.0,13.0,40.0,0,4,0.0,1696,0.0
2638,new,3.Silver,2.Rest of US,Fullstack (BE-heavy),p1,5,2,2,3,52.0,0,107.0,5.0,7.4,40.0,0,4,1.0,1697,1.0
2639,new,2.Gold,3.Top 30 GDP,Web Backend,p0,7,7,3,4,11.0,3.0,2679.0,6.0,4.7,40.0,0,4,1.0,1712,1.0
2640,new,2.Gold,3.Top 30 GDP,Web Backend,p0,8,6,4,4,0.0,0,257.0,325.0,4.7,40.0,0,1,1.0,1714,1.0
2641,new,3.Silver,2.Rest of US,Web Backend,p1,2,2,2,0,0.0,No Nice have skill,148.0,No Nice have skill,13.0,40.0,0,3,0.0,1716,0.0
2642,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,4,4,3,1,49.0,6922.0,694.0,8131.0,7.4,40.0,0,3,0.0,1731,0.0
2643,new,4.Bronze,2.Rest of US,Data Engineering,p1,11,8,4,7,0.0,0,50.0,5.0,7.4,40.0,0,1,1.0,1988,1.0
2644,new,4.Bronze,2.Rest of US,Web Backend,p1,10,7,3,7,0.0,0,494.0,1.0,7.4,40.0,0,1,0.0,1753,0.0
2645,new,4.Bronze,2.Rest of US,Web Frontend,p1,6,6,2,4,574.0,0,5797.0,2.0,7.4,40.0,0,4,0.0,1754,0.0
2649,new,3.Silver,1.Bay Area,Web Backend,p1,2,1,2,0,0.0,No Nice have skill,504.0,No Nice have skill,14.7,40.0,0,3,0.0,1815,0.0
2650,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,4,6,3,1,22.0,0,515.0,5340.0,7.4,40.0,0,4,0.0,1818,0.0
2651,new,4.Bronze,2.Rest of US,Web Backend,p1,7,4,3,4,65.0,0,957.0,5.0,7.4,40.0,0,4,0.0,1826,0.0
2652,new,4.Bronze,2.Rest of US,Web Backend,p1,7,4,3,4,65.0,0,957.0,5.0,7.4,40.0,0,4,0.0,2251,0.0
2653,new,4.Bronze,2.Rest of US,UI/UX Developer,p1,4,3,2,2,509.0,0,234.0,410.0,7.4,20.0,0,4,0.0,1776,0.0
2654,new,4.Bronze,2.Rest of US,Other,p1,1,2,1,0,436.0,No Nice have skill,21126.0,No Nice have skill,7.4,20.0,0,0,0.0,1777,0.0
2655,new,4.Bronze,2.Rest of US,Full Stack,p1,4,5,3,1,2.0,369.0,464.0,4093.0,7.4,40.0,0,4,0.0,1778,0.0
2656,new,2.Gold,1.Bay Area,Fullstack (FE-heavy),p1,1,0,1,0,0.0,No Nice have skill,1030.0,No Nice have skill,22.2,40.0,0,2,0.0,1779,0.0
2658,new,2.Gold,1.Bay Area,Web Frontend,p1,2,3,2,0,574.0,No Nice have skill,5797.0,No Nice have skill,22.2,40.0,0,2,0.0,1780,0.0
2659,new,2.Gold,1.Bay Area,Full Stack,p1,3,1,3,0,0.0,No Nice have skill,124.0,No Nice have skill,22.2,40.0,0,2,0.0,1781,0.0
2660,new,4.Bronze,1.Bay Area,Web Frontend,p1,3,3,1,2,4251.0,509.0,15643.0,234.0,11.5,40.0,0,0,0.0,1788,0.0
2661,new,4.Bronze,1.Bay Area,Full Stack,p1,3,4,2,1,79.0,560.0,1024.0,2959.0,11.5,40.0,0,4,0.0,1787,0.0
2663,existing,2.Gold,2.Rest of US,Web Backend,p1,17,13,5,12,0.0,0,987.0,0,11.7,40.0,0,1,1.0,2368,1.0
2664,new,2.Gold,2.Rest of US,Mobile,p1,3,3,2,1,19.0,0,746.0,147.0,23.4,40.0,0,2,1.0,1789,1.0
2665,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,5,5,4,1,0.0,148.0,144.0,11204.0,7.4,40.0,0,4,0.0,1790,0.0
2666,existing,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,4,5,3,1,146.0,148.0,2223.0,11204.0,3.9,40.0,0,4,0.0,2282,0.0
2668,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,4,4,1,3,4251.0,0,15643.0,118.0,7.4,40.0,0,0,1.0,1978,1.0
2669,new,2.Gold,1.Bay Area,Data Engineering,p0,4,2,3,1,0.0,148.0,1.0,11204.0,22.2,40.0,0,2,0.0,1806,0.0
2670,new,2.Gold,1.Bay Area,Data Engineering,p1,4,2,3,1,0.0,148.0,1.0,11204.0,22.2,40.0,0,2,1.0,2729,1.0
2671,new,2.Gold,3.Top 30 GDP,Web Frontend,p0,4,4,3,1,0.0,645.0,9.0,1558.0,4.7,40.0,0,4,0.0,1813,0.0
2672,new,2.Gold,3.Top 30 GDP,Web Frontend,p0,5,5,2,3,292.0,0,2184.0,32.0,4.7,40.0,0,4,0.0,2014,0.0
2673,new,2.Gold,3.Top 30 GDP,Web Backend,p0,3,3,3,0,22.0,No Nice have skill,115.0,No Nice have skill,4.7,40.0,0,3,0.0,1834,0.0
2677,new,4.Bronze,4.Others,Mobile,,4,3,1,3,1442.0,446.0,4615.0,336.0,0.5,40.0,0,4,0.0,1845,0.0
