,must_have_skill_ids_tuple,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
626,"(120, 433)",['AWS' 'Node.js'],10,16.0,6.0,7.0,2.0,1.0,
627,"(120, 433, 1013)",['AWS' 'AWS Lambda' 'Node.js'],1,2.0,1.0,1.0,,,
628,"(120, 433, 1013, 2031)",['AWS' 'AWS Lambda' 'Node.js' 'React'],1,1.0,1.0,,,,
629,"(120, 433, 1123, 1938, 2031)",['AWS' 'Node.js' 'React' 'UI Design' 'UX Design'],1,0.0,,,,,
630,"(120, 433, 1397)",['AWS' 'AngularJS' 'Node.js'],1,1.0,1.0,,,,
631,"(120, 433, 1615)",['API Integrations  ' 'AWS' 'Node.js'],1,0.0,,,,,
632,"(120, 433, 1615, 2031)",['API Integrations  ' 'AWS' 'Node.js' 'React'],1,0.0,,,,,
633,"(120, 433, 1855)",['AWS' 'Angular 2+' 'Node.js'],1,1.0,1.0,,,,
634,"(120, 433, 2031)",['AWS' 'Node.js' 'React'],9,5.0,4.0,1.0,,,
635,"(120, 433, 2031, 2036)",['AWS' 'Angular' 'Node.js' 'React'],1,1.0,1.0,,,,
636,"(120, 433, 2036)",['AWS' 'Angular' 'Node.js'],1,1.0,1.0,,,,
637,"(120, 433, 475, 2031)",['AWS' 'Node.js' 'React' 'Solidity'],2,0.0,,,,,
638,"(120, 433, 513)",['AWS' 'Infrastructure Operations' 'Node.js'],1,0.0,,,,,
639,"(120, 433, 677, 1299, 2031)",['AWS' 'Back-End Development' 'Database Administration' 'Node.js' 'React'],1,0.0,,,,,
640,"(120, 433, 677, 2031)",['AWS' 'Database Administration' 'Node.js' 'React'],1,0.0,,,,,
641,"(120, 433, 857, 2031)",['AWS' 'AWS Amplify' 'Node.js' 'React'],1,3.0,3.0,,,,
642,"(120, 437, 2031)",['Bootstrap' 'Node.js' 'React'],2,0.0,,,,,
643,"(120, 475, 1163)",['Node.js' 'Solidity' 'Web3'],1,0.0,,,,,
644,"(120, 475, 1163, 2031, 2143)",['Ethereum' 'Node.js' 'React' 'Solidity' 'Web3'],1,0.0,,,,,
645,"(120, 526)",['Node.js' 'WordPress'],1,59.0,35.0,20.0,2.0,1.0,1.0
646,"(120, 526, 2031)",['Node.js' 'React' 'WordPress'],1,23.0,18.0,4.0,,,1.0
647,"(120, 568)",['Android/Kotlin' 'Node.js'],1,5.0,3.0,1.0,1.0,,
648,"(120, 580, 2031)",['Apollo' 'Node.js' 'React'],3,69.0,39.0,20.0,1.0,,9.0
649,"(120, 598, 2031)",['Javascript ES6' 'Node.js' 'React'],2,757.0,257.0,327.0,12.0,4.0,157.0
650,"(120, 660, 2031)",['Node.js' 'React' 'Redux-Saga'],1,250.0,105.0,112.0,2.0,1.0,30.0
651,"(120, 677, 2031)",['Database Administration' 'Node.js' 'React'],1,0.0,,,,,
652,"(120, 720)",['AWS Solutions Architecture' 'Node.js'],4,254.0,117.0,101.0,20.0,6.0,10.0
653,"(120, 720, 2031)",['AWS Solutions Architecture' 'Node.js' 'React'],1,89.0,61.0,20.0,1.0,,7.0
654,"(120, 836)",['AWS DevOps' 'Node.js'],1,254.0,117.0,101.0,20.0,6.0,10.0
655,"(120, 836, 1013)",['AWS DevOps' 'AWS Lambda' 'Node.js'],1,54.0,28.0,25.0,1.0,,
656,"(120, 922, 1176)",['Apache Pulsar' 'Node.js' 'RabbitMQ'],1,0.0,,,,,
657,"(120, 944)",['Node.js' 'Puppeteer'],1,0.0,,,,,
658,"(120,)",['Node.js'],57,4286.0,616.0,1598.0,963.0,432.0,677.0
659,"(121, 122, 158)",['Redux' 'Typescript' 'Vue.js'],1,61.0,37.0,21.0,1.0,,2.0
660,"(121, 122, 158, 519, 1397, 2031)",['AngularJS' 'React' 'Redux' 'Typescript' 'Vue.js' 'Vuex'],1,2.0,2.0,,,,
661,"(121, 122, 2031)",['React' 'Redux' 'Vue.js'],1,73.0,35.0,34.0,,,4.0
662,"(121, 122, 2036)",['Angular' 'Redux' 'Vue.js'],3,29.0,18.0,10.0,,,1.0
663,"(121, 125, 158, 2031)",['API Design' 'React' 'Redux' 'Typescript'],1,0.0,,,,,
664,"(121, 1405, 2031, 2050)",['MobX' 'Python(Django)' 'React' 'Redux'],1,0.0,,,,,
665,"(121, 1466, 2031)",['Python Automation' 'React' 'Redux'],1,64.0,32.0,26.0,,,6.0
666,"(121, 158, 159, 160)",['GraphQL' 'React Native' 'Redux' 'Typescript'],1,17.0,11.0,6.0,,,
667,"(121, 158, 159, 2031)",['GraphQL' 'React' 'Redux' 'Typescript'],1,83.0,40.0,35.0,,,8.0
668,"(121, 158, 160, 1615)",['API Integrations  ' 'React Native' 'Redux' 'Typescript'],1,0.0,,,,,
669,"(121, 158, 1615, 2031)",['API Integrations  ' 'React' 'Redux' 'Typescript'],1,0.0,,,,,
670,"(121, 158, 165)",['PHP' 'Redux' 'Typescript'],1,31.0,25.0,5.0,1.0,,
671,"(121, 158, 2031)",['React' 'Redux' 'Typescript'],13,338.0,114.0,156.0,2.0,1.0,65.0
672,"(121, 158, 2031, 2087)","['PHP, Laravel' 'React' 'Redux' 'Typescript']",1,13.0,11.0,2.0,,,
673,"(121, 158, 2036)",['Angular' 'Redux' 'Typescript'],1,67.0,35.0,29.0,2.0,,1.0
674,"(121, 158, 287)",['NoSQL' 'Redux' 'Typescript'],1,0.0,,,,,
675,"(121, 158, 308, 309, 2036)",['Angular' 'CSS3' 'HTML5' 'Redux' 'Typescript'],1,3.0,3.0,,,,
676,"(121, 158, 406)",['Next.js' 'Redux' 'Typescript'],1,80.0,38.0,35.0,1.0,,6.0
677,"(121, 158, 602, 2031)",['Material UI' 'React' 'Redux' 'Typescript'],1,0.0,,,,,
678,"(121, 159, 2031)",['GraphQL' 'React' 'Redux'],2,99.0,45.0,42.0,,,12.0
679,"(121, 159, 321, 387, 2031)",['GraphQL' 'HTML' 'React' 'Redux' 'Webpack'],1,0.0,,,,,
680,"(121, 160)",['React Native' 'Redux'],1,169.0,45.0,70.0,,,54.0
681,"(121, 160, 2031)",['React' 'React Native' 'Redux'],2,75.0,27.0,34.0,,,14.0
682,"(121, 160, 377, 488, 568, 2031, 2067)","['Android/Kotlin' 'Mobile Web Development ' 'React' 'React Native' 'Redux'
 'Team Management' 'iOS - Swift']",1,0.0,,,,,
683,"(121, 160, 433, 598)",['AWS' 'Javascript ES6' 'React Native' 'Redux'],1,1.0,1.0,,,,
684,"(121, 160, 598)",['Javascript ES6' 'React Native' 'Redux'],2,88.0,28.0,40.0,,,20.0
685,"(121, 1690, 2031)",['React' 'Redux' 'Software Testing'],1,0.0,,,,,
686,"(121, 1938, 2031)",['React' 'Redux' 'UX Design'],1,0.0,,,,,
687,"(121, 2031)",['React' 'Redux'],28,599.0,143.0,259.0,3.0,2.0,192.0
688,"(121, 2031, 2036)",['Angular' 'React' 'Redux'],10,68.0,31.0,32.0,1.0,,4.0
689,"(121, 2031, 2050)",['Python(Django)' 'React' 'Redux'],1,28.0,14.0,12.0,,,2.0
690,"(121, 2036)",['Angular' 'Redux'],5,98.0,45.0,45.0,3.0,1.0,4.0
691,"(121, 308, 309, 2031)",['CSS3' 'HTML5' 'React' 'Redux'],1,9.0,7.0,2.0,,,
692,"(121, 309, 311, 387, 2036)",['Angular' 'CSS3' 'HTML' 'Redux' 'SASS'],1,0.0,,,,,
693,"(121, 309, 387, 2031)",['CSS3' 'HTML' 'React' 'Redux'],1,9.0,7.0,2.0,,,
694,"(121, 314, 2031)",['JavaScript Frameworks' 'React' 'Redux'],1,0.0,,,,,
695,"(121, 353, 2031)",['React' 'Redux' 'UI Development'],1,0.0,,,,,
696,"(121, 406)",['Next.js' 'Redux'],1,117.0,47.0,49.0,3.0,1.0,17.0
697,"(121, 406, 2031)",['Next.js' 'React' 'Redux'],1,87.0,36.0,39.0,,1.0,11.0
698,"(121, 437, 2031)",['Bootstrap' 'React' 'Redux'],1,0.0,,,,,
699,"(121, 602, 2031)",['Material UI' 'React' 'Redux'],2,0.0,,,,,
700,"(121, 707)",['Redux' 'System Integration Testing'],1,0.0,,,,,
701,"(121, 745, 2031)",['React' 'Redux' 'SSAS'],1,0.0,,,,,
702,"(121,)",['Redux'],8,1050.0,199.0,409.0,126.0,66.0,250.0
703,"(122, 132, 519)",['Firebase' 'Vue.js' 'Vuex'],1,8.0,2.0,5.0,1.0,,
704,"(122, 158)",['Typescript' 'Vue.js'],5,362.0,154.0,153.0,20.0,7.0,28.0
705,"(122, 158, 387, 594)",['HTML' 'SCSS' 'Typescript' 'Vue.js'],1,0.0,,,,,
706,"(122, 159)",['GraphQL' 'Vue.js'],2,84.0,51.0,25.0,2.0,3.0,3.0
707,"(122, 165)",['PHP' 'Vue.js'],5,784.0,178.0,457.0,73.0,24.0,52.0
708,"(122, 165, 314, 406)",['JavaScript Frameworks' 'Next.js' 'PHP' 'Vue.js'],1,0.0,,,,,
709,"(122, 165, 358)",['Laravel' 'PHP' 'Vue.js'],3,587.0,134.0,360.0,43.0,7.0,43.0
710,"(122, 1710)",['Nuxt.js' 'Vue.js'],1,109.0,28.0,55.0,15.0,1.0,10.0
711,"(122, 1710, 2109)",['Nuxt.js' 'Tailwind CSS' 'Vue.js'],1,0.0,,,,,
712,"(122, 188, 406, 2031)",['D3.js' 'Next.js' 'React' 'Vue.js'],1,0.0,,,,,
713,"(122, 2031)",['React' 'Vue.js'],8,398.0,129.0,140.0,3.0,2.0,124.0
714,"(122, 2031, 2036)",['Angular' 'React' 'Vue.js'],3,88.0,33.0,30.0,1.0,1.0,23.0
715,"(122, 2031, 2050)",['Python(Django)' 'React' 'Vue.js'],1,20.0,16.0,4.0,,,
716,"(122, 2036)",['Angular' 'Vue.js'],1,286.0,80.0,149.0,17.0,8.0,32.0
717,"(122, 2050)",['Python(Django)' 'Vue.js'],8,96.0,38.0,33.0,1.0,3.0,21.0
718,"(122, 2087)","['PHP, Laravel' 'Vue.js']",9,587.0,134.0,360.0,43.0,7.0,43.0
719,"(122, 2096)",['Go' 'Vue.js'],1,69.0,22.0,29.0,8.0,2.0,8.0
720,"(122, 2098)",['Growth Engineering' 'Vue.js'],1,0.0,,,,,
721,"(122, 249, 1615, 2050)",['API Integrations  ' 'Cloud' 'Python(Django)' 'Vue.js'],1,0.0,,,,,
722,"(122, 308, 309, 1397, 2031)",['AngularJS' 'CSS3' 'HTML5' 'React' 'Vue.js'],1,4.0,4.0,,,,
723,"(122, 308, 598)",['HTML5' 'Javascript ES6' 'Vue.js'],2,28.0,22.0,6.0,,,
724,"(122, 314, 2031)",['JavaScript Frameworks' 'React' 'Vue.js'],1,0.0,,,,,
725,"(122, 353, 1123)",['UI Design' 'UI Development' 'Vue.js'],1,0.0,,,,,
726,"(122, 358)",['Laravel' 'Vue.js'],3,654.0,146.0,385.0,57.0,16.0,50.0
727,"(122, 358, 2109)",['Laravel' 'Tailwind CSS' 'Vue.js'],1,0.0,,,,,
728,"(122, 358, 433, 1710)",['AWS' 'Laravel' 'Nuxt.js' 'Vue.js'],1,1.0,,,,1.0,
729,"(122, 387)",['HTML' 'Vue.js'],1,37.0,27.0,9.0,,,1.0
730,"(122, 387, 433, 2087, 2109)","['AWS' 'HTML' 'PHP, Laravel' 'Tailwind CSS' 'Vue.js']",1,0.0,,,,,
731,"(122, 388)",['.NET Core' 'Vue.js'],2,0.0,,,,,
732,"(122, 433)",['AWS' 'Vue.js'],2,3.0,2.0,,,1.0,
733,"(122, 433, 2049)",['AWS' 'PHP/MySQL' 'Vue.js'],1,2.0,1.0,,,1.0,
734,"(122, 519)",['Vue.js' 'Vuex'],1,211.0,69.0,94.0,22.0,8.0,18.0
735,"(122, 519, 967)",['Cordova' 'Vue.js' 'Vuex'],2,0.0,,,,,
736,"(122, 526, 2031)",['React' 'Vue.js' 'WordPress'],1,10.0,9.0,1.0,,,
737,"(122, 567, 2067)",['Android/Java' 'Vue.js' 'iOS - Swift'],1,2.0,2.0,,,,
738,"(122, 666)",['ASP.NET' 'Vue.js'],1,45.0,16.0,22.0,3.0,3.0,1.0
739,"(122,)",['Vue.js'],45,2250.0,356.0,1022.0,347.0,181.0,344.0
740,"(124, 158, 159)",['GraphQL' 'Software Architecture' 'Typescript'],1,0.0,,,,,
741,"(124, 249, 305)",['Cloud' 'Microservices' 'Software Architecture'],1,0.0,,,,,
742,"(124, 268, 377, 769)","['Machine Learning' 'Software Architecture' 'Software Development'
 'Team Management']",1,0.0,,,,,
743,"(124, 433)",['AWS' 'Software Architecture'],1,0.0,,,,,
744,"(124, 433, 2031, 2087)","['AWS' 'PHP, Laravel' 'React' 'Software Architecture']",1,0.0,,,,,
745,"(124, 686)",['Project Management' 'Software Architecture'],1,0.0,,,,,
746,"(124,)",['Software Architecture'],6,0.0,,,,,
747,"(125, 1302, 1318)",['API Design' 'Fullstack Development' 'Web Design'],1,0.0,,,,,
748,"(125, 158, 159, 2031)",['API Design' 'GraphQL' 'React' 'Typescript'],1,0.0,,,,,
749,"(125, 394)",['API Design' 'Data Modeling'],1,0.0,,,,,
750,"(125,)",['API Design'],1,0.0,,,,,
751,"(127, 2091)",['Data Engineering' 'Open Source'],1,0.0,,,,,
752,"(128, 166, 174)",['Linux ' 'Unix' 'Unix Development Environments'],1,0.0,,,,,
753,"(1282,)",['OpenCV'],1,0.0,,,,,
754,"(1286, 2062)",['ASP.NET/C#' 'Windows Applications'],1,0.0,,,,,
755,"(1299, 1615)",['API Integrations  ' 'Back-End Development'],1,0.0,,,,,
756,"(1299, 2031)",['Back-End Development' 'React'],1,0.0,,,,,
757,"(1299,)",['Back-End Development'],5,0.0,,,,,
758,"(1302, 1561)",['Fullstack Development' 'Mobile App Development'],1,0.0,,,,,
759,"(1302, 1847)",['Communication' 'Fullstack Development'],1,0.0,,,,,
760,"(1302, 2031)",['Fullstack Development' 'React'],3,0.0,,,,,
761,"(1302, 2036)",['Angular' 'Fullstack Development'],1,0.0,,,,,
762,"(1302,)",['Fullstack Development'],12,0.0,,,,,
763,"(131, 158, 160, 282, 304)",['Blockchain' 'Express.js' 'Heroku' 'React Native' 'Typescript'],1,0.0,,,,,
764,"(1315, 1675)",['Salesforce ' 'Salesforce Development'],2,0.0,,,,,
765,"(1315, 1756)",['Apex Programming' 'Salesforce '],1,0.0,,,,,
766,"(1315,)",['Salesforce '],5,308.0,2.0,16.0,241.0,36.0,13.0
767,"(132, 158, 160, 2031)",['Firebase' 'React' 'React Native' 'Typescript'],1,13.0,11.0,2.0,,,
768,"(132, 158, 183)",['Firebase' 'Stripe' 'Typescript'],1,0.0,,,,,
769,"(132, 158, 857, 2031)",['AWS Amplify' 'Firebase' 'React' 'Typescript'],1,7.0,7.0,,,,
770,"(132, 158, 893, 2036)",['Angular' 'Firebase' 'Nativescript ' 'Typescript'],1,0.0,,,,,
771,"(132, 160)",['Firebase' 'React Native'],3,105.0,30.0,42.0,2.0,3.0,28.0
772,"(132, 160, 2031)",['Firebase' 'React' 'React Native'],1,21.0,13.0,7.0,,,1.0
773,"(132, 160, 433, 1561)",['AWS' 'Firebase' 'Mobile App Development' 'React Native'],1,0.0,,,,,
774,"(132, 2031)",['Firebase' 'React'],2,58.0,29.0,22.0,,,7.0
775,"(132, 2067)",['Firebase' 'iOS - Swift'],1,166.0,6.0,33.0,82.0,25.0,20.0
776,"(132, 277, 433, 568)",['AWS' 'Android/Kotlin' 'Firebase' 'Kotlin'],1,0.0,,,,,
777,"(132, 392)",['Firebase' 'Flutter'],4,206.0,23.0,73.0,51.0,31.0,28.0
778,"(132, 406, 2031)",['Firebase' 'Next.js' 'React'],1,12.0,8.0,4.0,,,
779,"(132, 433, 2067)",['AWS' 'Firebase' 'iOS - Swift'],2,0.0,,,,,
780,"(132, 568)",['Android/Kotlin' 'Firebase'],1,33.0,6.0,14.0,6.0,5.0,2.0
781,"(1367, 2031, 2036)",['Angular' 'Django Rest Framework' 'React'],1,13.0,11.0,2.0,,,
782,"(1367, 2050)",['Django Rest Framework' 'Python(Django)'],1,1888.0,181.0,507.0,101.0,182.0,917.0
783,"(1367,)",['Django Rest Framework'],1,1888.0,181.0,507.0,101.0,182.0,917.0
784,"(1389,)",['Magento 2'],1,0.0,,,,,
785,"(139, 1451)",['Embedded Systems' 'Firmware'],1,0.0,,,,,
786,"(139,)",['Embedded Systems'],1,360.0,48.0,104.0,134.0,31.0,43.0
787,"(1397, 2036)",['Angular' 'AngularJS'],2,3523.0,318.0,1232.0,1091.0,448.0,434.0
788,"(1397, 2036, 2050)",['Angular' 'AngularJS' 'Python(Django)'],1,56.0,20.0,26.0,2.0,,8.0
789,"(1397,)",['AngularJS'],3,3523.0,318.0,1232.0,1091.0,448.0,434.0
790,"(14, 111, 157)",['Objective-C' 'REST/RESTful APIs' 'Unit Testing'],2,0.0,,,,,
791,"(14, 120, 2101)",['Node.js' 'React Hooks' 'Unit Testing'],1,0.0,,,,,
792,"(14, 153, 341, 1314, 1939, 2115)","['Automation Testing' 'Cypress' 'Integration Testing' 'Jira' 'QA'
 'Unit Testing']",1,0.0,,,,,
793,"(14, 165, 342)",['PHP' 'TDD/Test-Driven Development' 'Unit Testing'],1,0.0,,,,,
794,"(14, 20, 25, 111, 153, 246, 433)","['AWS' 'Django' 'Integration Testing' 'Python' 'RDBMS' 'REST/RESTful APIs'
 'Unit Testing']",1,0.0,,,,,
795,"(14, 20, 386)",['Manual Testing' 'Python' 'Unit Testing'],1,0.0,,,,,
796,"(14, 2036)",['Angular' 'Unit Testing'],1,0.0,,,,,
797,"(14, 2050)",['Python(Django)' 'Unit Testing'],1,0.0,,,,,
798,"(14, 258, 2067)",['Git' 'Unit Testing' 'iOS - Swift'],1,0.0,,,,,
799,"(14, 27)",['C++' 'Unit Testing'],2,0.0,,,,,
800,"(14, 29, 111, 114, 165)",['Java' 'PHP' 'REST/RESTful APIs' 'SQL' 'Unit Testing'],1,0.0,,,,,
801,"(14, 29, 114, 165, 1615, 2031, 2036)",['API Integrations  ' 'Angular' 'Java' 'PHP' 'React' 'SQL' 'Unit Testing'],1,0.0,,,,,
802,"(14, 54, 55, 61, 69, 114, 359)",['Azure' 'DevOps' 'Docker' 'Jenkins' 'Kubernetes' 'SQL' 'Unit Testing'],1,0.0,,,,,
803,"(14, 55, 153)",['Docker' 'Integration Testing' 'Unit Testing'],2,0.0,,,,,
804,"(14, 567, 568, 2124)",['Android/Java' 'Android/Kotlin' 'Espresso' 'Unit Testing'],1,0.0,,,,,
805,"(14, 61, 70, 111, 114, 153, 154, 287, 305, 433, 483)","['AWS' 'Distributed Systems' 'GCP' 'Integration Testing' 'Kubernetes'
 'Load Testing' 'Microservices' 'NoSQL' 'REST/RESTful APIs' 'SQL'
 'Unit Testing']",1,0.0,,,,,
806,"(14, 63, 153, 2031)",['CI/CD' 'Integration Testing' 'React' 'Unit Testing'],1,0.0,,,,,
807,"(14, 686, 706)",['Functional Testing' 'Project Management' 'Unit Testing'],1,0.0,,,,,
808,"(14, 91, 386)",['C#' 'Manual Testing' 'Unit Testing'],1,0.0,,,,,
809,"(14, 91, 388, 1059)",['.NET Core' 'C#' 'Unit Testing' 'Web API'],1,0.0,,,,,
810,"(14, 93, 120)",['JavaScript' 'Node.js' 'Unit Testing'],1,0.0,,,,,
811,"(14, 93, 120, 158, 2031)",['JavaScript' 'Node.js' 'React' 'Typescript' 'Unit Testing'],1,0.0,,,,,
812,"(14, 93, 158)",['JavaScript' 'Typescript' 'Unit Testing'],1,0.0,,,,,
813,"(14, 93, 1623, 1939)","['Automation Testing' 'JavaScript' 'Software Quality Assurance'
 'Unit Testing']",1,0.0,,,,,
814,"(14, 93, 2031)",['JavaScript' 'React' 'Unit Testing'],1,0.0,,,,,
815,"(1405, 2031)",['MobX' 'React'],1,9.0,3.0,6.0,,,
816,"(143, 159, 2031, 2096)",['GRPC' 'Go' 'GraphQL' 'React'],1,0.0,,,,,
817,"(143, 2096)",['GRPC' 'Go'],1,0.0,,,,,
818,"(1436,)",['T-SQL'],1,0.0,,,,,
819,"(1451,)",['Firmware'],1,0.0,,,,,
820,"(1455,)",['GWT'],1,0.0,,,,,
821,"(1463,)",['Game Development'],1,0.0,,,,,
822,"(1466,)",['Python Automation'],1,9939.0,568.0,2169.0,869.0,619.0,5714.0
823,"(15, 20, 114, 268, 433)",['A/B Testing' 'AWS' 'Machine Learning' 'Python' 'SQL'],1,0.0,,,,,
824,"(15, 26, 93, 107, 158, 159, 304, 1163, 1302, 1938, 2101)","['A/B Testing' 'Blockchain' 'CSS' 'Fullstack Development' 'Go/Golang'
 'GraphQL' 'JavaScript' 'React Hooks' 'Typescript' 'UX Design' 'Web3']",1,0.0,,,,,
825,"(15, 614, 1123, 1318, 1938)",['A/B Testing' 'Figma' 'UI Design' 'UX Design' 'Web Design'],1,0.0,,,,,
826,"(1561,)",['Mobile App Development'],9,0.0,,,,,
827,"(157, 2067)",['Objective-C' 'iOS - Swift'],5,0.0,,,,,
828,"(157, 277, 2067)",['Kotlin' 'Objective-C' 'iOS - Swift'],1,0.0,,,,,
829,"(157, 567, 568)",['Android/Java' 'Android/Kotlin' 'Objective-C'],1,0.0,,,,,
830,"(158, 1013, 1403, 2031)",['AWS Cognito' 'AWS Lambda' 'React' 'Typescript'],1,14.0,10.0,4.0,,,
831,"(158, 1013, 2031)",['AWS Lambda' 'React' 'Typescript'],1,14.0,10.0,4.0,,,
832,"(158, 1314, 2031)",['Cypress' 'React' 'Typescript'],1,0.0,,,,,
833,"(158, 1318, 2031)",['React' 'Typescript' 'Web Design'],1,9.0,7.0,2.0,,,
834,"(158, 1397, 2031)",['AngularJS' 'React' 'Typescript'],1,166.0,60.0,83.0,1.0,,22.0
835,"(158, 159, 160)",['GraphQL' 'React Native' 'Typescript'],1,42.0,25.0,15.0,,1.0,1.0
836,"(158, 159, 1615, 2031)",['API Integrations  ' 'GraphQL' 'React' 'Typescript'],1,0.0,,,,,
837,"(158, 159, 2031)",['GraphQL' 'React' 'Typescript'],21,206.0,84.0,83.0,,1.0,38.0
838,"(158, 159, 406, 2031)",['GraphQL' 'Next.js' 'React' 'Typescript'],3,34.0,22.0,10.0,,,2.0
839,"(158, 159, 406, 580, 2031)",['Apollo' 'GraphQL' 'Next.js' 'React' 'Typescript'],2,7.0,7.0,,,,
840,"(158, 159, 433, 580, 2031)",['AWS' 'Apollo' 'GraphQL' 'React' 'Typescript'],1,0.0,,,,,
841,"(158, 159, 580)",['Apollo' 'GraphQL' 'Typescript'],1,56.0,31.0,20.0,,1.0,4.0
842,"(158, 159, 580, 2031)",['Apollo' 'GraphQL' 'React' 'Typescript'],1,41.0,22.0,15.0,,,4.0
843,"(158, 159, 614, 2031)",['Figma' 'GraphQL' 'React' 'Typescript'],1,0.0,,,,,
844,"(158, 159, 769, 2031)",['GraphQL' 'React' 'Software Development' 'Typescript'],1,17.0,17.0,,,,
845,"(158, 160)",['React Native' 'Typescript'],13,303.0,88.0,122.0,1.0,2.0,90.0
846,"(158, 160, 1615, 2031)",['API Integrations  ' 'React' 'React Native' 'Typescript'],1,0.0,,,,,
847,"(158, 160, 2031)",['React' 'React Native' 'Typescript'],13,163.0,56.0,69.0,,,38.0
848,"(158, 160, 2031, 2036)",['Angular' 'React' 'React Native' 'Typescript'],1,17.0,13.0,3.0,,,1.0
849,"(158, 160, 2036)",['Angular' 'React Native' 'Typescript'],1,26.0,19.0,5.0,,,2.0
850,"(158, 160, 277)",['Kotlin' 'React Native' 'Typescript'],1,1.0,1.0,,,,
851,"(158, 160, 387, 2031)",['HTML' 'React' 'React Native' 'Typescript'],1,2.0,2.0,,,,
852,"(158, 160, 485)",['Jest' 'React Native' 'Typescript'],1,0.0,,,,,
853,"(158, 160, 485, 2031)",['Jest' 'React' 'React Native' 'Typescript'],1,0.0,,,,,
854,"(158, 1615, 2031, 2101)",['API Integrations  ' 'React' 'React Hooks' 'Typescript'],1,0.0,,,,,
855,"(158, 165, 2031)",['PHP' 'React' 'Typescript'],1,99.0,65.0,29.0,1.0,,4.0
856,"(158, 1690, 1939)",['Automation Testing' 'Software Testing' 'Typescript'],2,0.0,,,,,
857,"(158, 1800, 2031)",['Electron' 'React' 'Typescript'],1,0.0,,,,,
858,"(158, 1847, 2031)",['Communication' 'React' 'Typescript'],1,0.0,,,,,
859,"(158, 1855)",['Angular 2+' 'Typescript'],3,666.0,144.0,368.0,87.0,16.0,51.0
860,"(158, 2031)",['React' 'Typescript'],85,1526.0,326.0,600.0,17.0,6.0,577.0
861,"(158, 2031, 2036)",['Angular' 'React' 'Typescript'],2,166.0,60.0,83.0,1.0,,22.0
862,"(158, 2031, 2050)",['Python(Django)' 'React' 'Typescript'],1,47.0,29.0,13.0,,,5.0
863,"(158, 2031, 2096)",['Go' 'React' 'Typescript'],2,34.0,21.0,8.0,1.0,,4.0
864,"(158, 2031, 2101)",['React' 'React Hooks' 'Typescript'],1,79.0,50.0,26.0,,,3.0
865,"(158, 2031, 2109)",['React' 'Tailwind CSS' 'Typescript'],1,0.0,,,,,
866,"(158, 2036)",['Angular' 'Typescript'],5,666.0,144.0,368.0,87.0,16.0,51.0
867,"(158, 2115)",['QA' 'Typescript'],1,10.0,6.0,3.0,,,1.0
868,"(158, 232, 1013, 1299)",['AWS Lambda' 'Back-End Development' 'DynamoDB' 'Typescript'],1,0.0,,,,,
869,"(158, 258, 2031)",['Git' 'React' 'Typescript'],1,312.0,148.0,123.0,4.0,,37.0
870,"(158, 258, 308, 309, 406, 660, 2031)",['CSS3' 'Git' 'HTML5' 'Next.js' 'React' 'Redux-Saga' 'Typescript'],1,2.0,2.0,,,,
871,"(158, 277)",['Kotlin' 'Typescript'],1,4.0,2.0,1.0,1.0,,
872,"(158, 277, 2094)",['Data Engineer' 'Kotlin' 'Typescript'],1,0.0,,,,,
873,"(158, 287, 666)",['ASP.NET' 'NoSQL' 'Typescript'],1,0.0,,,,,
874,"(158, 308, 309, 2031)",['CSS3' 'HTML5' 'React' 'Typescript'],1,22.0,18.0,4.0,,,
875,"(158, 308, 309, 404, 1397)",['AngularJS' 'CSS3' 'HTML5' 'RxJS' 'Typescript'],1,0.0,,,,,
876,"(158, 309, 2031)",['CSS3' 'React' 'Typescript'],1,22.0,18.0,4.0,,,
877,"(158, 311, 2031)",['React' 'SASS' 'Typescript'],1,0.0,,,,,
878,"(158, 311, 387, 404, 1855)",['Angular 2+' 'HTML' 'RxJS' 'SASS' 'Typescript'],2,0.0,,,,,
879,"(158, 314)",['JavaScript Frameworks' 'Typescript'],1,0.0,,,,,
880,"(158, 314, 406, 2031)",['JavaScript Frameworks' 'Next.js' 'React' 'Typescript'],1,0.0,,,,,
881,"(158, 331, 666)",['ASP.NET' 'MVC' 'Typescript'],1,0.0,,,,,
882,"(158, 342, 2031)",['React' 'TDD/Test-Driven Development' 'Typescript'],1,0.0,,,,,
883,"(158, 342, 433)",['AWS' 'TDD/Test-Driven Development' 'Typescript'],1,0.0,,,,,
884,"(158, 348, 406, 660, 2031)",['Next.js' 'React' 'Redux-Saga' 'Scrum' 'Typescript'],1,0.0,,,,,
885,"(158, 353, 406, 862, 2031)",['Next.js' 'React' 'Typescript' 'UI Development' 'Web Development'],1,0.0,,,,,
886,"(158, 387, 2031)",['HTML' 'React' 'Typescript'],2,22.0,18.0,4.0,,,
887,"(158, 388, 1059)",['.NET Core' 'Typescript' 'Web API'],1,0.0,,,,,
888,"(158, 388, 1987, 2061)",['.NET Core' '.NET MVC' 'MS SQLServer' 'Typescript'],1,0.0,,,,,
889,"(158, 404)",['RxJS' 'Typescript'],1,0.0,,,,,
890,"(158, 404, 2036)",['Angular' 'RxJS' 'Typescript'],1,0.0,,,,,
