,must_have_skill_ids_tuple,must_have_skill_names,num_must_have_skills,total_positions,chosen_sum_in_bulk_job,active_positions,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience,sk_li,single_skill,id,skill_name
3357,"(165, 598, 2031)",['Javascript ES6' 'PHP' 'React'],3.0,2.0,0,0.0,148.0,89.0,51.0,2.0,,6.0,"['165', ' 598', ' 2031']",598,598,Javascript ES6
3358,"(165, 598, 2031)",['Javascript ES6' 'PHP' 'React'],3.0,2.0,0,0.0,148.0,89.0,51.0,2.0,,6.0,"['165', ' 598', ' 2031']",2031,2031,React
3359,"(165, 939)",['CakePHP' 'PHP'],2.0,2.0,0,1.0,3586.0,450.0,1407.0,839.0,636.0,254.0,"['165', ' 939']",165,165,PHP
3360,"(165, 939)",['CakePHP' 'PHP'],2.0,2.0,0,1.0,3586.0,450.0,1407.0,839.0,636.0,254.0,"['165', ' 939']",939,939,CakePHP
3361,"(165,)",['PHP'],1.0,16.0,3,0.0,3586.0,450.0,1407.0,839.0,636.0,254.0,"['165', '']",165,165,PHP
3362,"(166, 1013)",['AWS Lambda' 'Linux '],2.0,1.0,0,0.0,0.0,,,,,,"['166', ' 1013']",166,166,Linux 
3363,"(166, 1013)",['AWS Lambda' 'Linux '],2.0,1.0,0,0.0,0.0,,,,,,"['166', ' 1013']",1013,1013,AWS Lambda
3364,"(166, 174, 1466, 1939)",['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 1466', ' 1939']",166,166,Linux 
3365,"(166, 174, 1466, 1939)",['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 1466', ' 1939']",174,174,Unix
3366,"(166, 174, 1466, 1939)",['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 1466', ' 1939']",1466,1466,Python Automation
3367,"(166, 174, 1466, 1939)",['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 1466', ' 1939']",1939,1939,Automation Testing
3368,"(166, 174, 2143)",['Ethereum' 'Linux ' 'Unix'],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 2143']",166,166,Linux 
3369,"(166, 174, 2143)",['Ethereum' 'Linux ' 'Unix'],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 2143']",174,174,Unix
3370,"(166, 174, 2143)",['Ethereum' 'Linux ' 'Unix'],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 174', ' 2143']",2143,2143,Ethereum
3371,"(166, 258, 314)",['Git' 'JavaScript Frameworks' 'Linux '],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 258', ' 314']",166,166,Linux 
3372,"(166, 258, 314)",['Git' 'JavaScript Frameworks' 'Linux '],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 258', ' 314']",258,258,Git
3373,"(166, 258, 314)",['Git' 'JavaScript Frameworks' 'Linux '],3.0,1.0,0,0.0,0.0,,,,,,"['166', ' 258', ' 314']",314,314,JavaScript Frameworks
3374,"(166, 278, 441, 2062)",['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 278', ' 441', ' 2062']",166,166,Linux 
3375,"(166, 278, 441, 2062)",['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 278', ' 441', ' 2062']",278,278,SaaS
3376,"(166, 278, 441, 2062)",['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 278', ' 441', ' 2062']",441,441,Entity Framework
3377,"(166, 278, 441, 2062)",['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],4.0,1.0,0,0.0,0.0,,,,,,"['166', ' 278', ' 441', ' 2062']",2062,2062,ASP.NET/C#
3378,"(166, 392)",['Flutter' 'Linux '],2.0,1.0,1,0.0,0.0,,,,,,"['166', ' 392']",166,166,Linux 
3379,"(166, 392)",['Flutter' 'Linux '],2.0,1.0,1,0.0,0.0,,,,,,"['166', ' 392']",392,392,Flutter
3380,"(166, 433)",['AWS' 'Linux '],2.0,1.0,0,0.0,0.0,,,,,,"['166', ' 433']",166,166,Linux 
3381,"(166, 433)",['AWS' 'Linux '],2.0,1.0,0,0.0,0.0,,,,,,"['166', ' 433']",433,433,AWS
3382,"(166,)",['Linux '],1.0,6.0,0,0.0,0.0,,,,,,"['166', '']",166,166,Linux 
3383,"(167, 2036)",['Algorithms and Data Structures' 'Angular'],2.0,1.0,0,1.0,116.0,62.0,39.0,6.0,1.0,8.0,"['167', ' 2036']",167,167,Algorithms and Data Structures
3384,"(167, 2036)",['Algorithms and Data Structures' 'Angular'],2.0,1.0,0,1.0,116.0,62.0,39.0,6.0,1.0,8.0,"['167', ' 2036']",2036,2036,Angular
3385,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 232', ' 433', ' 1299', ' 2031']",167,167,Algorithms and Data Structures
3386,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 232', ' 433', ' 1299', ' 2031']",232,232,DynamoDB
3387,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 232', ' 433', ' 1299', ' 2031']",433,433,AWS
3388,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 232', ' 433', ' 1299', ' 2031']",1299,1299,Back-End Development
3389,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 232', ' 433', ' 1299', ' 2031']",2031,2031,React
3390,"(167, 249, 710, 1615)","['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",4.0,2.0,0,0.0,0.0,,,,,,"['167', ' 249', ' 710', ' 1615']",167,167,Algorithms and Data Structures
3391,"(167, 249, 710, 1615)","['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",4.0,2.0,0,0.0,0.0,,,,,,"['167', ' 249', ' 710', ' 1615']",249,249,Cloud
3392,"(167, 249, 710, 1615)","['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",4.0,2.0,0,0.0,0.0,,,,,,"['167', ' 249', ' 710', ' 1615']",710,710,Python for Data Science
3393,"(167, 249, 710, 1615)","['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",4.0,2.0,0,0.0,0.0,,,,,,"['167', ' 249', ' 710', ' 1615']",1615,1615,API Integrations  
3394,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 255', ' 268', ' 710', ' 1555']",167,167,Algorithms and Data Structures
3395,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 255', ' 268', ' 710', ' 1555']",255,255,Quantitative Analysis
3396,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 255', ' 268', ' 710', ' 1555']",268,268,Machine Learning
3397,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 255', ' 268', ' 710', ' 1555']",710,710,Python for Data Science
3398,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",5.0,1.0,0,0.0,0.0,,,,,,"['167', ' 255', ' 268', ' 710', ' 1555']",1555,1555,Mathematics
3399,"(167, 256, 2091, 2092)","['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",4.0,1.0,0,0.0,0.0,,,,,,"['167', ' 256', ' 2091', ' 2092']",167,167,Algorithms and Data Structures
3400,"(167, 256, 2091, 2092)","['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",4.0,1.0,0,0.0,0.0,,,,,,"['167', ' 256', ' 2091', ' 2092']",256,256,Data Warehousing
3401,"(167, 256, 2091, 2092)","['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",4.0,1.0,0,0.0,0.0,,,,,,"['167', ' 256', ' 2091', ' 2092']",2091,2091,Data Engineering
3402,"(167, 256, 2091, 2092)","['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",4.0,1.0,0,0.0,0.0,,,,,,"['167', ' 256', ' 2091', ' 2092']",2092,2092,Data Pipelines
3403,"(167, 388, 2036)",['.NET Core' 'Algorithms and Data Structures' 'Angular'],3.0,1.0,0,0.0,0.0,,,,,,"['167', ' 388', ' 2036']",167,167,Algorithms and Data Structures
3404,"(167, 388, 2036)",['.NET Core' 'Algorithms and Data Structures' 'Angular'],3.0,1.0,0,0.0,0.0,,,,,,"['167', ' 388', ' 2036']",388,388,.NET Core
3405,"(167, 388, 2036)",['.NET Core' 'Algorithms and Data Structures' 'Angular'],3.0,1.0,0,0.0,0.0,,,,,,"['167', ' 388', ' 2036']",2036,2036,Angular
3406,"(1675, 1676)",['Salesforce Admin' 'Salesforce Development'],2.0,1.0,0,1.0,0.0,,,,,,"['1675', ' 1676']",1675,1675,Salesforce Development
3407,"(1675, 1676)",['Salesforce Admin' 'Salesforce Development'],2.0,1.0,0,1.0,0.0,,,,,,"['1675', ' 1676']",1676,1676,Salesforce Admin
3408,"(1675,)",['Salesforce Development'],1.0,7.0,1,1.0,0.0,,,,,,"['1675', '']",1675,1675,Salesforce Development
3409,"(1676,)",['Salesforce Admin'],1.0,1.0,0,0.0,0.0,,,,,,"['1676', '']",1676,1676,Salesforce Admin
3410,"(169, 820)",['Clojure' 'ClojureScript'],2.0,1.0,0,0.0,0.0,,,,,,"['169', ' 820']",169,169,Clojure
3411,"(169, 820)",['Clojure' 'ClojureScript'],2.0,1.0,0,0.0,0.0,,,,,,"['169', ' 820']",820,820,ClojureScript
3412,"(169, 820, 2031)",['Clojure' 'ClojureScript' 'React'],3.0,1.0,0,0.0,0.0,,,,,,"['169', ' 820', ' 2031']",169,169,Clojure
3413,"(169, 820, 2031)",['Clojure' 'ClojureScript' 'React'],3.0,1.0,0,0.0,0.0,,,,,,"['169', ' 820', ' 2031']",820,820,ClojureScript
3414,"(169, 820, 2031)",['Clojure' 'ClojureScript' 'React'],3.0,1.0,0,0.0,0.0,,,,,,"['169', ' 820', ' 2031']",2031,2031,React
3415,"(169,)",['Clojure'],1.0,2.0,0,0.0,0.0,,,,,,"['169', '']",169,169,Clojure
3416,"(1690,)",['Software Testing'],1.0,2.0,0,0.0,0.0,,,,,,"['1690', '']",1690,1690,Software Testing
3417,"(17, 111, 2067)",['REST/RESTful APIs' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 111', ' 2067']",17,17,Xcode
3418,"(17, 111, 2067)",['REST/RESTful APIs' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 111', ' 2067']",111,111,REST/RESTful APIs
3419,"(17, 111, 2067)",['REST/RESTful APIs' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 111', ' 2067']",2067,2067,iOS - Swift
3420,"(17, 157, 2067)",['Objective-C' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 157', ' 2067']",17,17,Xcode
3421,"(17, 157, 2067)",['Objective-C' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 157', ' 2067']",157,157,Objective-C
3422,"(17, 157, 2067)",['Objective-C' 'Xcode' 'iOS - Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['17', ' 157', ' 2067']",2067,2067,iOS - Swift
3423,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],5.0,1.0,1,0.0,0.0,,,,,,"['17', ' 160', ' 392', ' 448', ' 508']",17,17,Xcode
3424,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],5.0,1.0,1,0.0,0.0,,,,,,"['17', ' 160', ' 392', ' 448', ' 508']",160,160,React Native
3425,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],5.0,1.0,1,0.0,0.0,,,,,,"['17', ' 160', ' 392', ' 448', ' 508']",392,392,Flutter
3426,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],5.0,1.0,1,0.0,0.0,,,,,,"['17', ' 160', ' 392', ' 448', ' 508']",448,448,Android Studio
3427,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],5.0,1.0,1,0.0,0.0,,,,,,"['17', ' 160', ' 392', ' 448', ' 508']",508,508,Ionic
3428,"(17, 1615, 2067)",['API Integrations  ' 'Xcode' 'iOS - Swift'],3.0,2.0,0,0.0,0.0,,,,,,"['17', ' 1615', ' 2067']",17,17,Xcode
3429,"(17, 1615, 2067)",['API Integrations  ' 'Xcode' 'iOS - Swift'],3.0,2.0,0,0.0,0.0,,,,,,"['17', ' 1615', ' 2067']",1615,1615,API Integrations  
3430,"(17, 1615, 2067)",['API Integrations  ' 'Xcode' 'iOS - Swift'],3.0,2.0,0,0.0,0.0,,,,,,"['17', ' 1615', ' 2067']",2067,2067,iOS - Swift
3431,"(17, 29, 392, 448)",['Android Studio' 'Flutter' 'Java' 'Xcode'],4.0,1.0,0,0.0,0.0,,,,,,"['17', ' 29', ' 392', ' 448']",17,17,Xcode
3432,"(17, 29, 392, 448)",['Android Studio' 'Flutter' 'Java' 'Xcode'],4.0,1.0,0,0.0,0.0,,,,,,"['17', ' 29', ' 392', ' 448']",29,29,Java
3433,"(17, 29, 392, 448)",['Android Studio' 'Flutter' 'Java' 'Xcode'],4.0,1.0,0,0.0,0.0,,,,,,"['17', ' 29', ' 392', ' 448']",392,392,Flutter
3434,"(17, 29, 392, 448)",['Android Studio' 'Flutter' 'Java' 'Xcode'],4.0,1.0,0,0.0,0.0,,,,,,"['17', ' 29', ' 392', ' 448']",448,448,Android Studio
3435,"(17,)",['Xcode'],1.0,1.0,0,0.0,0.0,,,,,,"['17', '']",17,17,Xcode
3436,"(170, 1615)",['API Integrations  ' 'Apache Solr'],2.0,1.0,0,0.0,0.0,,,,,,"['170', ' 1615']",170,170,Apache Solr
3437,"(170, 1615)",['API Integrations  ' 'Apache Solr'],2.0,1.0,0,0.0,0.0,,,,,,"['170', ' 1615']",1615,1615,API Integrations  
3438,"(170,)",['Apache Solr'],1.0,1.0,0,0.0,0.0,,,,,,"['170', '']",170,170,Apache Solr
3439,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],5.0,1.0,0,0.0,0.0,,,,,,"['171', ' 249', ' 433', ' 675', ' 1013']",171,171,EC2
3440,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],5.0,1.0,0,0.0,0.0,,,,,,"['171', ' 249', ' 433', ' 675', ' 1013']",249,249,Cloud
3441,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],5.0,1.0,0,0.0,0.0,,,,,,"['171', ' 249', ' 433', ' 675', ' 1013']",433,433,AWS
3442,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],5.0,1.0,0,0.0,0.0,,,,,,"['171', ' 249', ' 433', ' 675', ' 1013']",675,675,AS3
3443,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],5.0,1.0,0,0.0,0.0,,,,,,"['171', ' 249', ' 433', ' 675', ' 1013']",1013,1013,AWS Lambda
3444,"(171, 433, 798)",['AWS' 'EC2' 'Elastic BeanStalk'],3.0,1.0,1,0.0,0.0,,,,,,"['171', ' 433', ' 798']",171,171,EC2
3445,"(171, 433, 798)",['AWS' 'EC2' 'Elastic BeanStalk'],3.0,1.0,1,0.0,0.0,,,,,,"['171', ' 433', ' 798']",433,433,AWS
3446,"(171, 433, 798)",['AWS' 'EC2' 'Elastic BeanStalk'],3.0,1.0,1,0.0,0.0,,,,,,"['171', ' 433', ' 798']",798,798,Elastic BeanStalk
3447,"(1727, 2091)",['Data Engineering' 'PySpark'],2.0,1.0,1,0.0,0.0,,,,,,"['1727', ' 2091']",1727,1727,PySpark
3448,"(1727, 2091)",['Data Engineering' 'PySpark'],2.0,1.0,1,0.0,0.0,,,,,,"['1727', ' 2091']",2091,2091,Data Engineering
3449,"(1727,)",['PySpark'],1.0,1.0,0,0.0,0.0,,,,,,"['1727', '']",1727,1727,PySpark
3450,"(179, 180, 513)",['Infrastructure Operations' 'Network Protocols' 'TCP/IP'],3.0,1.0,0,0.0,0.0,,,,,,"['179', ' 180', ' 513']",179,179,Network Protocols
3451,"(179, 180, 513)",['Infrastructure Operations' 'Network Protocols' 'TCP/IP'],3.0,1.0,0,0.0,0.0,,,,,,"['179', ' 180', ' 513']",180,180,TCP/IP
3452,"(179, 180, 513)",['Infrastructure Operations' 'Network Protocols' 'TCP/IP'],3.0,1.0,0,0.0,0.0,,,,,,"['179', ' 180', ' 513']",513,513,Infrastructure Operations
3453,"(179, 2096)",['Go' 'Network Protocols'],2.0,1.0,1,0.0,0.0,,,,,,"['179', ' 2096']",179,179,Network Protocols
3454,"(179, 2096)",['Go' 'Network Protocols'],2.0,1.0,1,0.0,0.0,,,,,,"['179', ' 2096']",2096,2096,Go
3455,"(1800, 2031)",['Electron' 'React'],2.0,1.0,0,0.0,0.0,,,,,,"['1800', ' 2031']",1800,1800,Electron
3456,"(1800, 2031)",['Electron' 'React'],2.0,1.0,0,0.0,0.0,,,,,,"['1800', ' 2031']",2031,2031,React
3457,"(1800, 2036)",['Angular' 'Electron'],2.0,1.0,0,0.0,0.0,,,,,,"['1800', ' 2036']",1800,1800,Electron
3458,"(1800, 2036)",['Angular' 'Electron'],2.0,1.0,0,0.0,0.0,,,,,,"['1800', ' 2036']",2036,2036,Angular
3459,"(1800,)",['Electron'],1.0,2.0,0,0.0,0.0,,,,,,"['1800', '']",1800,1800,Electron
3460,"(1821,)",['MS SQL Server'],1.0,1.0,0,0.0,7047.0,826.0,2625.0,1144.0,726.0,1726.0,"['1821', '']",1821,1821,MS SQL Server
3461,"(183, 433)",['AWS' 'Stripe'],2.0,1.0,0,0.0,0.0,,,,,,"['183', ' 433']",183,183,Stripe
3462,"(183, 433)",['AWS' 'Stripe'],2.0,1.0,0,0.0,0.0,,,,,,"['183', ' 433']",433,433,AWS
3463,"(1849,)",['Tech Lead'],1.0,5.0,0,1.0,1.0,1.0,,,,,"['1849', '']",1849,1849,Tech Lead
3464,"(185, 269, 351, 1973)",['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],4.0,1.0,0,0.0,0.0,,,,,,"['185', ' 269', ' 351', ' 1973']",185,185,MATLAB
3465,"(185, 269, 351, 1973)",['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],4.0,1.0,0,0.0,0.0,,,,,,"['185', ' 269', ' 351', ' 1973']",269,269,Statistics
3466,"(185, 269, 351, 1973)",['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],4.0,1.0,0,0.0,0.0,,,,,,"['185', ' 269', ' 351', ' 1973']",351,351,Data Analysis
3467,"(185, 269, 351, 1973)",['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],4.0,1.0,0,0.0,0.0,,,,,,"['185', ' 269', ' 351', ' 1973']",1973,1973,Excel
3468,"(1855, 2036)",['Angular' 'Angular 2+'],2.0,1.0,0,1.0,3523.0,318.0,1232.0,1091.0,448.0,434.0,"['1855', ' 2036']",1855,1855,Angular 2+
3469,"(1855, 2036)",['Angular' 'Angular 2+'],2.0,1.0,0,1.0,3523.0,318.0,1232.0,1091.0,448.0,434.0,"['1855', ' 2036']",2036,2036,Angular
3470,"(1855,)",['Angular 2+'],1.0,2.0,0,0.0,3523.0,318.0,1232.0,1091.0,448.0,434.0,"['1855', '']",1855,1855,Angular 2+
3471,"(188, 2031)",['D3.js' 'React'],2.0,1.0,1,0.0,24.0,12.0,8.0,,,4.0,"['188', ' 2031']",188,188,D3.js
3472,"(188, 2031)",['D3.js' 'React'],2.0,1.0,1,0.0,24.0,12.0,8.0,,,4.0,"['188', ' 2031']",2031,2031,React
3473,"(188, 2055)",['D3.js' 'Unity'],2.0,1.0,0,0.0,0.0,,,,,,"['188', ' 2055']",188,188,D3.js
3474,"(188, 2055)",['D3.js' 'Unity'],2.0,1.0,0,0.0,0.0,,,,,,"['188', ' 2055']",2055,2055,Unity
3475,"(188, 497, 2087)","['D3.js' 'PHP, Laravel' 'Website Development']",3.0,1.0,1,0.0,0.0,,,,,,"['188', ' 497', ' 2087']",188,188,D3.js
3476,"(188, 497, 2087)","['D3.js' 'PHP, Laravel' 'Website Development']",3.0,1.0,1,0.0,0.0,,,,,,"['188', ' 497', ' 2087']",497,497,Website Development
3477,"(188, 497, 2087)","['D3.js' 'PHP, Laravel' 'Website Development']",3.0,1.0,1,0.0,0.0,,,,,,"['188', ' 497', ' 2087']",2087,2087,"PHP, Laravel"
3478,"(189, 1696)",['Tableau' 'User-Centered Design'],2.0,1.0,0,0.0,0.0,,,,,,"['189', ' 1696']",189,189,Tableau
3479,"(189, 1696)",['Tableau' 'User-Centered Design'],2.0,1.0,0,0.0,0.0,,,,,,"['189', ' 1696']",1696,1696,User-Centered Design
3480,"(189, 467)",['Power BI' 'Tableau'],2.0,1.0,1,0.0,0.0,,,,,,"['189', ' 467']",189,189,Tableau
3481,"(189, 467)",['Power BI' 'Tableau'],2.0,1.0,1,0.0,0.0,,,,,,"['189', ' 467']",467,467,Power BI
3482,"(189,)",['Tableau'],1.0,1.0,0,0.0,0.0,,,,,,"['189', '']",189,189,Tableau
3483,"(19, 111)",['REST/RESTful APIs' 'Ruby'],2.0,1.0,1,0.0,78.0,16.0,33.0,17.0,5.0,7.0,"['19', ' 111']",19,19,Ruby
3484,"(19, 111)",['REST/RESTful APIs' 'Ruby'],2.0,1.0,1,0.0,78.0,16.0,33.0,17.0,5.0,7.0,"['19', ' 111']",111,111,REST/RESTful APIs
3485,"(19, 111, 120, 160)",['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['19', ' 111', ' 120', ' 160']",19,19,Ruby
3486,"(19, 111, 120, 160)",['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['19', ' 111', ' 120', ' 160']",111,111,REST/RESTful APIs
3487,"(19, 111, 120, 160)",['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['19', ' 111', ' 120', ' 160']",120,120,Node.js
3488,"(19, 111, 120, 160)",['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],4.0,1.0,0,0.0,3.0,3.0,,,,,"['19', ' 111', ' 120', ' 160']",160,160,React Native
3489,"(19, 114)",['Ruby' 'SQL'],2.0,1.0,1,0.0,104.0,30.0,41.0,17.0,6.0,10.0,"['19', ' 114']",19,19,Ruby
3490,"(19, 114)",['Ruby' 'SQL'],2.0,1.0,1,0.0,104.0,30.0,41.0,17.0,6.0,10.0,"['19', ' 114']",114,114,SQL
3491,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],5.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 120', ' 258', ' 980']",19,19,Ruby
3492,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],5.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 120', ' 258', ' 980']",114,114,SQL
3493,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],5.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 120', ' 258', ' 980']",120,120,Node.js
3494,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],5.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 120', ' 258', ' 980']",258,258,Git
3495,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],5.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 120', ' 258', ' 980']",980,980,REST APIs Testing
3496,"(19, 114, 2031)",['React' 'Ruby' 'SQL'],3.0,1.0,0,0.0,23.0,14.0,9.0,,,,"['19', ' 114', ' 2031']",19,19,Ruby
3497,"(19, 114, 2031)",['React' 'Ruby' 'SQL'],3.0,1.0,0,0.0,23.0,14.0,9.0,,,,"['19', ' 114', ' 2031']",114,114,SQL
3498,"(19, 114, 2031)",['React' 'Ruby' 'SQL'],3.0,1.0,0,0.0,23.0,14.0,9.0,,,,"['19', ' 114', ' 2031']",2031,2031,React
3499,"(19, 114, 284)",['Ruby' 'SQL' 'jQuery'],3.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 284']",19,19,Ruby
3500,"(19, 114, 284)",['Ruby' 'SQL' 'jQuery'],3.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 284']",114,114,SQL
3501,"(19, 114, 284)",['Ruby' 'SQL' 'jQuery'],3.0,1.0,0,0.0,0.0,,,,,,"['19', ' 114', ' 284']",284,284,jQuery
3502,"(19, 114, 433)",['AWS' 'Ruby' 'SQL'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['19', ' 114', ' 433']",19,19,Ruby
3503,"(19, 114, 433)",['AWS' 'Ruby' 'SQL'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['19', ' 114', ' 433']",114,114,SQL
3504,"(19, 114, 433)",['AWS' 'Ruby' 'SQL'],3.0,1.0,0,0.0,2.0,2.0,,,,,"['19', ' 114', ' 433']",433,433,AWS
3505,"(19, 116, 2031)",['MongoDB' 'React' 'Ruby'],3.0,1.0,0,0.0,15.0,9.0,5.0,,,1.0,"['19', ' 116', ' 2031']",19,19,Ruby
3506,"(19, 116, 2031)",['MongoDB' 'React' 'Ruby'],3.0,1.0,0,0.0,15.0,9.0,5.0,,,1.0,"['19', ' 116', ' 2031']",116,116,MongoDB
