,must_have_skill_ids_tuple,must_have_skill_names_y,total_positions,total_open_positions__c,dc,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
857,"(16, 158, 160, 2031)",['React' 'React Native' 'Typescript' 'iOS Development'],1.0,0.0,1,['React' 'React Native' 'Typescript' 'iOS Development'],1,2.0,1.0,1.0,,,
858,"(16, 160)",['React Native' 'iOS Development'],2.0,0.0,2,['React Native' 'iOS Development'],2,75.0,7.0,25.0,2.0,2.0,39.0
859,"(16, 160, 1114)",['Cards & Payment' 'React Native' 'iOS Development'],1.0,0.0,0,['Cards & Payment' 'React Native' 'iOS Development'],1,0.0,,,,,
860,"(16, 160, 267)",['React Native' 'Video' 'iOS Development'],1.0,1.0,0,['React Native' 'Video' 'iOS Development'],1,0.0,,,,,
861,"(16, 160, 488, 1830)","['Android Testing' 'Mobile Web Development ' 'React Native'
 'iOS Development']",1.0,0.0,0,"['Android Testing' 'Mobile Web Development ' 'React Native'
 'iOS Development']",1,0.0,,,,,
862,"(16, 1625)",['RxSwift' 'iOS Development'],1.0,0.0,0,['RxSwift' 'iOS Development'],1,888.0,24.0,112.0,492.0,171.0,89.0
863,"(16, 17, 105, 2099)",['Swift' 'SwiftUI' 'Xcode' 'iOS Development'],1.0,0.0,0,['Swift' 'SwiftUI' 'Xcode' 'iOS Development'],1,0.0,,,,,
864,"(16, 17, 157, 2067)",['Objective-C' 'Xcode' 'iOS - Swift' 'iOS Development'],1.0,0.0,0,['Objective-C' 'Xcode' 'iOS - Swift' 'iOS Development'],1,0.0,,,,,
865,"(16, 2067)",['iOS - Swift' 'iOS Development'],31.0,10.0,10,['iOS - Swift' 'iOS Development'],31,888.0,24.0,112.0,492.0,171.0,89.0
866,"(16, 2067, 2099)",['SwiftUI' 'iOS - Swift' 'iOS Development'],2.0,0.0,0,['SwiftUI' 'iOS - Swift' 'iOS Development'],2,888.0,24.0,112.0,492.0,171.0,89.0
867,"(16, 258, 347, 348, 885)",['Agile' 'Git' 'IoT' 'Scrum' 'iOS Development'],1.0,0.0,0,['Agile' 'Git' 'IoT' 'Scrum' 'iOS Development'],1,0.0,,,,,
868,"(16, 392)",['Flutter' 'iOS Development'],4.0,0.0,0,['Flutter' 'iOS Development'],3,64.0,2.0,24.0,25.0,4.0,9.0
869,"(16, 392, 1909)",['Android Hybrid App Development' 'Flutter' 'iOS Development'],1.0,0.0,0,['Android Hybrid App Development' 'Flutter' 'iOS Development'],1,15.0,2.0,11.0,2.0,,
870,"(16, 488, 1561, 2067)","['Mobile App Development' 'Mobile Web Development ' 'iOS - Swift'
 'iOS Development']",1.0,0.0,0,"['Mobile App Development' 'Mobile Web Development ' 'iOS - Swift'
 'iOS Development']",1,0.0,,,,,
871,"(16, 567)",['Android/Java' 'iOS Development'],1.0,0.0,0,['Android/Java' 'iOS Development'],1,99.0,9.0,45.0,27.0,6.0,12.0
872,"(16, 568)",['Android/Kotlin' 'iOS Development'],1.0,0.0,1,['Android/Kotlin' 'iOS Development'],1,19.0,3.0,10.0,4.0,,2.0
873,"(16, 607)",['Xamarin' 'iOS Development'],2.0,0.0,1,['Xamarin' 'iOS Development'],1,0.0,,,,,
874,"(16, 607, 2099)",['SwiftUI' 'Xamarin' 'iOS Development'],1.0,0.0,0,['SwiftUI' 'Xamarin' 'iOS Development'],1,0.0,,,,,
875,"(16, 86, 2050)",['PostgreSQL' 'Python(Django)' 'iOS Development'],1.0,0.0,0,['PostgreSQL' 'Python(Django)' 'iOS Development'],1,1.0,1.0,,,,
876,"(16, 91, 108, 2031)",['Android' 'C#' 'React' 'iOS Development'],1.0,0.0,0,['Android' 'C#' 'React' 'iOS Development'],1,0.0,,,,,
877,"(16, 93)",['JavaScript' 'iOS Development'],1.0,0.0,0,['JavaScript' 'iOS Development'],1,2.0,2.0,,,,
878,"(16, 93, 108, 160, 488)","['Android' 'JavaScript' 'Mobile Web Development ' 'React Native'
 'iOS Development']",1.0,0.0,1,"['Android' 'JavaScript' 'Mobile Web Development ' 'React Native'
 'iOS Development']",1,0.0,,,,,
879,"(16, 93, 108, 392, 2067)",['Android' 'Flutter' 'JavaScript' 'iOS - Swift' 'iOS Development'],1.0,0.0,0,['Android' 'Flutter' 'JavaScript' 'iOS - Swift' 'iOS Development'],1,0.0,,,,,
880,"(16, 93, 120, 158)",['JavaScript' 'Node.js' 'Typescript' 'iOS Development'],1.0,0.0,0,['JavaScript' 'Node.js' 'Typescript' 'iOS Development'],1,0.0,,,,,
881,"(16, 97, 108)",['Android' 'Android SDK' 'iOS Development'],1.0,0.0,0,['Android' 'Android SDK' 'iOS Development'],1,19.0,3.0,10.0,4.0,,2.0
882,"(16, 97, 120, 2031)",['Android SDK' 'Node.js' 'React' 'iOS Development'],1.0,0.0,0,['Android SDK' 'Node.js' 'React' 'iOS Development'],1,1.0,1.0,,,,
883,"(16, 97, 2055)",['Android SDK' 'Unity' 'iOS Development'],1.0,0.0,0,['Android SDK' 'Unity' 'iOS Development'],1,0.0,,,,,
884,"(16,)",['iOS Development'],41.0,12.0,25,['iOS Development'],45,888.0,24.0,112.0,492.0,171.0,89.0
885,"(160, 1059)",['React Native' 'Web API'],1.0,0.0,1,['React Native' 'Web API'],1,0.0,,,,,
886,"(160, 1123, 1938)",['React Native' 'UI Design' 'UX Design'],1.0,0.0,0,['React Native' 'UI Design' 'UX Design'],1,5.0,3.0,1.0,,,1.0
887,"(160, 1196)",['Finance' 'React Native'],1.0,0.0,0,['Finance' 'React Native'],1,0.0,,,,,
888,"(160, 1302)",['Fullstack Development' 'React Native'],1.0,0.0,0,['Fullstack Development' 'React Native'],1,0.0,,,,,
889,"(160, 1547)",['Design Thinking' 'React Native'],1.0,0.0,0,['Design Thinking' 'React Native'],1,0.0,,,,,
890,"(160, 1561)",['Mobile App Development' 'React Native'],3.0,0.0,2,['Mobile App Development' 'React Native'],3,0.0,,,,,
891,"(160, 1561, 2031)",['Mobile App Development' 'React' 'React Native'],1.0,0.0,1,['Mobile App Development' 'React' 'React Native'],1,0.0,,,,,
892,"(160, 165)",['PHP' 'React Native'],3.0,0.0,1,['PHP' 'React Native'],2,94.0,38.0,41.0,3.0,3.0,9.0
893,"(160, 165, 2031)",['PHP' 'React' 'React Native'],1.0,0.0,0,['PHP' 'React' 'React Native'],1,22.0,12.0,7.0,,1.0,2.0
894,"(160, 165, 358)",['Laravel' 'PHP' 'React Native'],2.0,0.0,0,['Laravel' 'PHP' 'React Native'],1,46.0,17.0,22.0,2.0,2.0,3.0
895,"(160, 165, 424)",['Drupal' 'PHP' 'React Native'],1.0,1.0,0,['Drupal' 'PHP' 'React Native'],1,0.0,,,,,
896,"(160, 2031)",['React' 'React Native'],20.0,1.0,6,['React' 'React Native'],22,363.0,76.0,132.0,1.0,2.0,152.0
897,"(160, 2031, 2117)",['React' 'React Native' 'Shopify'],1.0,0.0,0,['React' 'React Native' 'Shopify'],1,0.0,,,,,
898,"(160, 2050)",['Python(Django)' 'React Native'],1.0,0.0,1,['Python(Django)' 'React Native'],2,30.0,13.0,12.0,,1.0,4.0
899,"(160, 2067)",['React Native' 'iOS - Swift'],2.0,0.0,1,['React Native' 'iOS - Swift'],2,75.0,7.0,25.0,2.0,2.0,39.0
900,"(160, 266)",['React Native' 'Sound and Audio'],1.0,0.0,0,['React Native' 'Sound and Audio'],1,0.0,,,,,
901,"(160, 277)",['Kotlin' 'React Native'],1.0,0.0,0,['Kotlin' 'React Native'],1,28.0,4.0,10.0,3.0,1.0,10.0
902,"(160, 287, 2031, 2127)",['NoSQL' 'React' 'React Native' 'Serverless'],1.0,0.0,0,['NoSQL' 'React' 'React Native' 'Serverless'],1,0.0,,,,,
903,"(160, 320, 2031)",['Chrome Extensions' 'React' 'React Native'],1.0,0.0,1,['Chrome Extensions' 'React' 'React Native'],1,0.0,,,,,
904,"(160, 353, 2031)",['React' 'React Native' 'UI Development'],1.0,0.0,1,['React' 'React Native' 'UI Development'],1,0.0,,,,,
905,"(160, 392)",['Flutter' 'React Native'],6.0,0.0,3,['Flutter' 'React Native'],6,65.0,12.0,27.0,1.0,2.0,23.0
906,"(160, 433)",['AWS' 'React Native'],1.0,0.0,1,['AWS' 'React Native'],2,4.0,3.0,,,1.0,
907,"(160, 433, 2031)",['AWS' 'React' 'React Native'],1.0,0.0,0,['AWS' 'React' 'React Native'],1,1.0,1.0,,,,
908,"(160, 433, 857, 2031)",['AWS' 'AWS Amplify' 'React' 'React Native'],1.0,0.0,0,['AWS' 'AWS Amplify' 'React' 'React Native'],1,0.0,,,,,
909,"(160, 464)",['React Native' 'Salesforce Lightning'],1.0,0.0,0,['React Native' 'Salesforce Lightning'],1,0.0,,,,,
910,"(160, 488)",['Mobile Web Development ' 'React Native'],3.0,2.0,0,['Mobile Web Development ' 'React Native'],2,0.0,,,,,
911,"(160, 580, 2031)",['Apollo' 'React' 'React Native'],1.0,0.0,0,['Apollo' 'React' 'React Native'],1,33.0,13.0,14.0,,,6.0
912,"(160, 769)",['React Native' 'Software Development'],1.0,0.0,0,['React Native' 'Software Development'],1,32.0,16.0,11.0,,1.0,4.0
913,"(160, 836)",['AWS DevOps' 'React Native'],1.0,0.0,0,['AWS DevOps' 'React Native'],1,31.0,18.0,8.0,,1.0,4.0
914,"(160, 857, 1403)",['AWS Amplify' 'AWS Cognito' 'React Native'],1.0,0.0,0,['AWS Amplify' 'AWS Cognito' 'React Native'],1,31.0,18.0,8.0,,1.0,4.0
915,"(160,)",['React Native'],107.0,9.0,32,['React Native'],117,1468.0,147.0,389.0,23.0,78.0,831.0
916,"(1615, 2031)",['API Integrations  ' 'React'],1.0,0.0,0,['API Integrations  ' 'React'],1,0.0,,,,,
917,"(1615, 2031, 2036)",['API Integrations  ' 'Angular' 'React'],1.0,0.0,1,['API Integrations  ' 'Angular' 'React'],1,0.0,,,,,
918,"(1615, 2049, 2087)","['API Integrations  ' 'PHP, Laravel' 'PHP/MySQL']",2.0,0.0,0,"['API Integrations  ' 'PHP, Laravel' 'PHP/MySQL']",2,0.0,,,,,
919,"(1615, 2050)",['API Integrations  ' 'Python(Django)'],1.0,0.0,0,['API Integrations  ' 'Python(Django)'],1,0.0,,,,,
920,"(1615,)",['API Integrations  '],1.0,0.0,1,['API Integrations  '],1,0.0,,,,,
921,"(1623, 1939)",['Automation Testing' 'Software Quality Assurance'],1.0,1.0,0,['Automation Testing' 'Software Quality Assurance'],1,0.0,,,,,
922,"(1623,)",['Software Quality Assurance'],5.0,2.0,3,['Software Quality Assurance'],5,0.0,,,,,
923,"(165, 1025)",['Magento' 'PHP'],2.0,1.0,0,['Magento' 'PHP'],2,0.0,,,,,
924,"(165, 1025, 1299)",['Back-End Development' 'Magento' 'PHP'],1.0,0.0,0,['Back-End Development' 'Magento' 'PHP'],1,0.0,,,,,
925,"(165, 1389)",['Magento 2' 'PHP'],1.0,0.0,0,['Magento 2' 'PHP'],1,0.0,,,,,
926,"(165, 166)",['Linux ' 'PHP'],1.0,0.0,0,['Linux ' 'PHP'],1,0.0,,,,,
927,"(165, 166, 264, 433)",['AWS' 'JSON' 'Linux ' 'PHP'],1.0,0.0,0,['AWS' 'JSON' 'Linux ' 'PHP'],1,0.0,,,,,
928,"(165, 1688, 2087)","['Java 8' 'PHP' 'PHP, Laravel']",1.0,0.0,1,"['Java 8' 'PHP' 'PHP, Laravel']",1,0.0,,,,,
929,"(165, 196, 424, 2087)","['Drupal' 'Object-Oriented Design' 'PHP' 'PHP, Laravel']",4.0,2.0,0,"['Drupal' 'Object-Oriented Design' 'PHP' 'PHP, Laravel']",1,0.0,,,,,
930,"(165, 2031)",['PHP' 'React'],7.0,0.0,0,['PHP' 'React'],7,243.0,118.0,92.0,3.0,1.0,29.0
931,"(165, 2036)",['Angular' 'PHP'],1.0,0.0,0,['Angular' 'PHP'],1,321.0,78.0,171.0,38.0,21.0,13.0
932,"(165, 2049)",['PHP' 'PHP/MySQL'],1.0,0.0,0,['PHP' 'PHP/MySQL'],2,888.0,258.0,460.0,96.0,49.0,25.0
933,"(165, 277, 836)",['AWS DevOps' 'Kotlin' 'PHP'],2.0,0.0,1,['AWS DevOps' 'Kotlin' 'PHP'],1,2.0,1.0,1.0,,,
934,"(165, 284)",['PHP' 'jQuery'],1.0,0.0,0,['PHP' 'jQuery'],1,0.0,,,,,
935,"(165, 291)",['Facebook API' 'PHP'],1.0,0.0,0,['Facebook API' 'PHP'],1,0.0,,,,,
936,"(165, 305, 1299)",['Back-End Development' 'Microservices' 'PHP'],1.0,0.0,0,['Back-End Development' 'Microservices' 'PHP'],1,0.0,,,,,
937,"(165, 307)",['LAMP' 'PHP'],1.0,0.0,0,['LAMP' 'PHP'],1,0.0,,,,,
938,"(165, 307, 358)",['LAMP' 'Laravel' 'PHP'],1.0,0.0,1,['LAMP' 'Laravel' 'PHP'],1,0.0,,,,,
939,"(165, 312, 526)",['PHP' 'Perl' 'WordPress'],1.0,0.0,1,['PHP' 'Perl' 'WordPress'],1,1.0,1.0,,,,
940,"(165, 318, 358)",['E-Commerce' 'Laravel' 'PHP'],1.0,0.0,0,['E-Commerce' 'Laravel' 'PHP'],1,0.0,,,,,
941,"(165, 358)",['Laravel' 'PHP'],9.0,0.0,4,['Laravel' 'PHP'],9,2089.0,264.0,924.0,551.0,174.0,176.0
942,"(165, 358, 1615)",['API Integrations  ' 'Laravel' 'PHP'],1.0,0.0,0,['API Integrations  ' 'Laravel' 'PHP'],1,0.0,,,,,
943,"(165, 358, 2031)",['Laravel' 'PHP' 'React'],1.0,0.0,0,['Laravel' 'PHP' 'React'],1,128.0,75.0,42.0,2.0,,9.0
944,"(165, 358, 2087)","['Laravel' 'PHP' 'PHP, Laravel']",1.0,0.0,0,"['Laravel' 'PHP' 'PHP, Laravel']",2,2089.0,264.0,924.0,551.0,174.0,176.0
945,"(165, 363)",['PHP' 'Symfony'],3.0,0.0,0,['PHP' 'Symfony'],3,0.0,,,,,
946,"(165, 363, 1059)",['PHP' 'Symfony' 'Web API'],1.0,0.0,1,['PHP' 'Symfony' 'Web API'],1,0.0,,,,,
947,"(165, 424)",['Drupal' 'PHP'],2.0,0.0,0,['Drupal' 'PHP'],2,0.0,,,,,
948,"(165, 433, 1114)",['AWS' 'Cards & Payment' 'PHP'],7.0,2.0,2,['AWS' 'Cards & Payment' 'PHP'],4,0.0,,,,,
949,"(165, 493)",['PHP' 'Zend Framework'],1.0,0.0,0,['PHP' 'Zend Framework'],1,0.0,,,,,
950,"(165, 526)",['PHP' 'WordPress'],8.0,3.0,1,['PHP' 'WordPress'],8,324.0,68.0,131.0,72.0,42.0,11.0
951,"(165, 526, 2031)",['PHP' 'React' 'WordPress'],1.0,0.0,0,['PHP' 'React' 'WordPress'],1,25.0,21.0,3.0,,,1.0
952,"(165, 598, 2031)",['Javascript ES6' 'PHP' 'React'],2.0,2.0,0,['Javascript ES6' 'PHP' 'React'],1,148.0,89.0,51.0,2.0,,6.0
953,"(165, 939)",['CakePHP' 'PHP'],1.0,0.0,0,['CakePHP' 'PHP'],2,3586.0,450.0,1407.0,839.0,636.0,254.0
954,"(165,)",['PHP'],17.0,1.0,4,['PHP'],21,3586.0,450.0,1407.0,839.0,636.0,254.0
955,"(166, 1013)",['AWS Lambda' 'Linux '],1.0,0.0,0,['AWS Lambda' 'Linux '],1,0.0,,,,,
956,"(166, 174, 1466, 1939)",['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],1.0,0.0,0,['Automation Testing' 'Linux ' 'Python Automation' 'Unix'],1,0.0,,,,,
957,"(166, 174, 2143)",['Ethereum' 'Linux ' 'Unix'],1.0,0.0,0,['Ethereum' 'Linux ' 'Unix'],1,0.0,,,,,
958,"(166, 258, 314)",['Git' 'JavaScript Frameworks' 'Linux '],1.0,0.0,0,['Git' 'JavaScript Frameworks' 'Linux '],1,0.0,,,,,
959,"(166, 278, 441, 2062)",['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],1.0,0.0,0,['ASP.NET/C#' 'Entity Framework' 'Linux ' 'SaaS'],1,0.0,,,,,
960,"(166, 392)",['Flutter' 'Linux '],1.0,0.0,1,['Flutter' 'Linux '],1,0.0,,,,,
961,"(166, 433)",['AWS' 'Linux '],1.0,0.0,0,['AWS' 'Linux '],1,0.0,,,,,
962,"(166,)",['Linux '],6.0,5.0,0,['Linux '],5,0.0,,,,,
963,"(167, 232, 433, 1299, 2031)","['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",1.0,0.0,0,"['AWS' 'Algorithms and Data Structures' 'Back-End Development' 'DynamoDB'
 'React']",1,0.0,,,,,
964,"(167, 249, 710, 1615)","['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",2.0,0.0,0,"['API Integrations  ' 'Algorithms and Data Structures' 'Cloud'
 'Python for Data Science']",2,0.0,,,,,
965,"(167, 255, 268, 710, 1555)","['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",1.0,0.0,0,"['Algorithms and Data Structures' 'Machine Learning' 'Mathematics'
 'Python for Data Science' 'Quantitative Analysis']",1,0.0,,,,,
966,"(167, 256, 2091, 2092)","['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",1.0,0.0,0,"['Algorithms and Data Structures' 'Data Engineering' 'Data Pipelines'
 'Data Warehousing']",1,0.0,,,,,
967,"(167, 388, 2036)",['.NET Core' 'Algorithms and Data Structures' 'Angular'],1.0,0.0,0,['.NET Core' 'Algorithms and Data Structures' 'Angular'],1,0.0,,,,,
968,"(1675,)",['Salesforce Development'],6.0,2.0,1,['Salesforce Development'],7,0.0,,,,,
969,"(1676,)",['Salesforce Admin'],1.0,0.0,0,['Salesforce Admin'],2,0.0,,,,,
970,"(169, 820)",['Clojure' 'ClojureScript'],1.0,0.0,0,['Clojure' 'ClojureScript'],1,0.0,,,,,
971,"(169, 820, 2031)",['Clojure' 'ClojureScript' 'React'],1.0,0.0,0,['Clojure' 'ClojureScript' 'React'],1,0.0,,,,,
972,"(169,)",['Clojure'],2.0,0.0,0,['Clojure'],3,0.0,,,,,
973,"(1690,)",['Software Testing'],2.0,0.0,0,['Software Testing'],1,0.0,,,,,
974,"(17, 111, 2067)",['REST/RESTful APIs' 'Xcode' 'iOS - Swift'],1.0,1.0,0,['REST/RESTful APIs' 'Xcode' 'iOS - Swift'],1,0.0,,,,,
975,"(17, 157, 2067)",['Objective-C' 'Xcode' 'iOS - Swift'],1.0,0.0,0,['Objective-C' 'Xcode' 'iOS - Swift'],1,0.0,,,,,
976,"(17, 160, 392, 448, 508)",['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],1.0,0.0,1,['Android Studio' 'Flutter' 'Ionic' 'React Native' 'Xcode'],1,0.0,,,,,
977,"(17, 1615, 2067)",['API Integrations  ' 'Xcode' 'iOS - Swift'],2.0,0.0,0,['API Integrations  ' 'Xcode' 'iOS - Swift'],1,0.0,,,,,
978,"(17, 29, 392, 448)",['Android Studio' 'Flutter' 'Java' 'Xcode'],1.0,0.0,0,['Android Studio' 'Flutter' 'Java' 'Xcode'],1,0.0,,,,,
979,"(17,)",['Xcode'],1.0,0.0,0,['Xcode'],1,0.0,,,,,
980,"(170, 1615)",['API Integrations  ' 'Apache Solr'],1.0,0.0,0,['API Integrations  ' 'Apache Solr'],1,0.0,,,,,
981,"(170,)",['Apache Solr'],2.0,1.0,0,['Apache Solr'],2,0.0,,,,,
982,"(171, 249, 433, 675, 1013)",['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],1.0,1.0,0,['AS3' 'AWS' 'AWS Lambda' 'Cloud' 'EC2'],1,0.0,,,,,
983,"(171, 433, 798)",['AWS' 'EC2' 'Elastic BeanStalk'],1.0,0.0,1,['AWS' 'EC2' 'Elastic BeanStalk'],1,0.0,,,,,
984,"(1727, 2091)",['Data Engineering' 'PySpark'],1.0,0.0,1,['Data Engineering' 'PySpark'],1,0.0,,,,,
985,"(1727,)",['PySpark'],1.0,0.0,0,['PySpark'],1,0.0,,,,,
986,"(179, 180, 513)",['Infrastructure Operations' 'Network Protocols' 'TCP/IP'],1.0,0.0,0,['Infrastructure Operations' 'Network Protocols' 'TCP/IP'],1,0.0,,,,,
987,"(179, 2096)",['Go' 'Network Protocols'],1.0,0.0,1,['Go' 'Network Protocols'],1,0.0,,,,,
988,"(1800, 2031)",['Electron' 'React'],1.0,0.0,0,['Electron' 'React'],1,0.0,,,,,
989,"(1800, 2036)",['Angular' 'Electron'],1.0,0.0,0,['Angular' 'Electron'],1,0.0,,,,,
990,"(1800,)",['Electron'],2.0,0.0,0,['Electron'],2,0.0,,,,,
991,"(1821,)",['MS SQL Server'],1.0,1.0,0,['MS SQL Server'],1,7047.0,826.0,2625.0,1144.0,726.0,1726.0
992,"(183, 433)",['AWS' 'Stripe'],1.0,0.0,0,['AWS' 'Stripe'],1,0.0,,,,,
993,"(1849,)",['Tech Lead'],4.0,4.0,0,['Tech Lead'],4,1.0,1.0,,,,
994,"(185, 269, 351, 1973)",['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],1.0,0.0,0,['Data Analysis' 'Excel' 'MATLAB' 'Statistics'],1,0.0,,,,,
995,"(1855,)",['Angular 2+'],2.0,0.0,0,['Angular 2+'],2,3523.0,318.0,1232.0,1091.0,448.0,434.0
996,"(188, 2031)",['D3.js' 'React'],1.0,0.0,1,['D3.js' 'React'],1,24.0,12.0,8.0,,,4.0
997,"(188, 2055)",['D3.js' 'Unity'],1.0,0.0,0,['D3.js' 'Unity'],1,0.0,,,,,
998,"(188, 497, 2087)","['D3.js' 'PHP, Laravel' 'Website Development']",1.0,0.0,1,"['D3.js' 'PHP, Laravel' 'Website Development']",1,0.0,,,,,
999,"(189, 1696)",['Tableau' 'User-Centered Design'],1.0,1.0,0,['Tableau' 'User-Centered Design'],1,0.0,,,,,
1000,"(189, 467)",['Power BI' 'Tableau'],1.0,0.0,1,['Power BI' 'Tableau'],1,0.0,,,,,
1001,"(189,)",['Tableau'],1.0,1.0,0,['Tableau'],1,0.0,,,,,
1002,"(19, 111)",['REST/RESTful APIs' 'Ruby'],1.0,0.0,1,['REST/RESTful APIs' 'Ruby'],1,78.0,16.0,33.0,17.0,5.0,7.0
1003,"(19, 111, 120, 160)",['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],1.0,0.0,0,['Node.js' 'REST/RESTful APIs' 'React Native' 'Ruby'],1,3.0,3.0,,,,
1004,"(19, 114)",['Ruby' 'SQL'],1.0,1.0,1,['Ruby' 'SQL'],1,104.0,30.0,41.0,17.0,6.0,10.0
1005,"(19, 114, 120, 258, 980)",['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],1.0,0.0,0,['Git' 'Node.js' 'REST APIs Testing' 'Ruby' 'SQL'],1,0.0,,,,,
1006,"(19, 114, 2031)",['React' 'Ruby' 'SQL'],1.0,0.0,0,['React' 'Ruby' 'SQL'],1,23.0,14.0,9.0,,,
1007,"(19, 114, 284)",['Ruby' 'SQL' 'jQuery'],1.0,0.0,0,['Ruby' 'SQL' 'jQuery'],1,0.0,,,,,
1008,"(19, 114, 433)",['AWS' 'Ruby' 'SQL'],1.0,0.0,0,['AWS' 'Ruby' 'SQL'],1,2.0,2.0,,,,
1009,"(19, 116, 2031)",['MongoDB' 'React' 'Ruby'],1.0,0.0,0,['MongoDB' 'React' 'Ruby'],1,15.0,9.0,5.0,,,1.0
1010,"(19, 120, 158)",['Node.js' 'Ruby' 'Typescript'],1.0,0.0,0,['Node.js' 'Ruby' 'Typescript'],1,18.0,13.0,5.0,,,
1011,"(19, 158)",['Ruby' 'Typescript'],1.0,0.0,1,['Ruby' 'Typescript'],1,38.0,17.0,15.0,4.0,1.0,1.0
1012,"(19, 165, 315)",['Elixir' 'PHP' 'Ruby'],3.0,0.0,3,['Elixir' 'PHP' 'Ruby'],3,0.0,,,,,
1013,"(19, 20)",['Python' 'Ruby'],1.0,0.0,0,['Python' 'Ruby'],2,82.0,24.0,32.0,4.0,,22.0
1014,"(19, 20, 120, 122, 165, 2031)",['Node.js' 'PHP' 'Python' 'React' 'Ruby' 'Vue.js'],1.0,0.0,0,['Node.js' 'PHP' 'Python' 'React' 'Ruby' 'Vue.js'],1,3.0,3.0,,,,
1015,"(19, 20, 120, 165, 2096)",['Go' 'Node.js' 'PHP' 'Python' 'Ruby'],1.0,0.0,0,['Go' 'Node.js' 'PHP' 'Python' 'Ruby'],1,1.0,1.0,,,,
1016,"(19, 20, 166, 433, 2091, 2096)",['AWS' 'Data Engineering' 'Go' 'Linux ' 'Python' 'Ruby'],3.0,0.0,1,['AWS' 'Data Engineering' 'Go' 'Linux ' 'Python' 'Ruby'],1,0.0,,,,,
1017,"(19, 20, 60, 132)",['Firebase' 'Google Cloud Platform' 'Python' 'Ruby'],1.0,0.0,0,['Firebase' 'Google Cloud Platform' 'Python' 'Ruby'],1,0.0,,,,,
1018,"(19, 20, 67, 87, 113, 165, 720)","['AWS Solutions Architecture' 'Kafka' 'MySQL' 'PHP' 'Python' 'Redis'
 'Ruby']",1.0,0.0,0,"['AWS Solutions Architecture' 'Kafka' 'MySQL' 'PHP' 'Python' 'Redis'
 'Ruby']",1,0.0,,,,,
1019,"(19, 20, 93, 114)",['JavaScript' 'Python' 'Ruby' 'SQL'],1.0,0.0,0,['JavaScript' 'Python' 'Ruby' 'SQL'],1,0.0,,,,,
1020,"(19, 20, 93, 120, 165)",['JavaScript' 'Node.js' 'PHP' 'Python' 'Ruby'],1.0,0.0,1,['JavaScript' 'Node.js' 'PHP' 'Python' 'Ruby'],1,0.0,,,,,
1021,"(19, 2031)",['React' 'Ruby'],1.0,0.0,1,['React' 'Ruby'],1,80.0,23.0,31.0,,1.0,25.0
1022,"(19, 26, 30, 305)",['Go/Golang' 'Microservices' 'Ruby' 'Ruby on Rails'],1.0,0.0,0,['Go/Golang' 'Microservices' 'Ruby' 'Ruby on Rails'],1,1.0,,1.0,,,
1023,"(19, 26, 61)",['Go/Golang' 'Kubernetes' 'Ruby'],1.0,0.0,0,['Go/Golang' 'Kubernetes' 'Ruby'],1,7.0,3.0,4.0,,,
1024,"(19, 284, 519)",['Ruby' 'Vuex' 'jQuery'],1.0,0.0,0,['Ruby' 'Vuex' 'jQuery'],1,0.0,,,,,
1025,"(19, 30)",['Ruby' 'Ruby on Rails'],7.0,2.0,3,['Ruby' 'Ruby on Rails'],6,650.0,49.0,134.0,289.0,93.0,85.0
1026,"(19, 30, 120, 132, 158)",['Firebase' 'Node.js' 'Ruby' 'Ruby on Rails' 'Typescript'],1.0,0.0,1,['Firebase' 'Node.js' 'Ruby' 'Ruby on Rails' 'Typescript'],1,1.0,1.0,,,,
1027,"(19, 30, 55, 86)",['Docker' 'PostgreSQL' 'Ruby' 'Ruby on Rails'],1.0,0.0,0,['Docker' 'PostgreSQL' 'Ruby' 'Ruby on Rails'],1,12.0,8.0,2.0,,,2.0
1028,"(19, 30, 86, 111, 1114)",['Cards & Payment' 'PostgreSQL' 'REST/RESTful APIs' 'Ruby' 'Ruby on Rails'],1.0,0.0,0,['Cards & Payment' 'PostgreSQL' 'REST/RESTful APIs' 'Ruby' 'Ruby on Rails'],1,0.0,,,,,
1029,"(19, 30, 86, 2031)",['PostgreSQL' 'React' 'Ruby' 'Ruby on Rails'],1.0,0.0,0,['PostgreSQL' 'React' 'Ruby' 'Ruby on Rails'],1,23.0,14.0,9.0,,,
